id,job,job_cn
74,absorber operator,吸收操作员
73,absence management consultant,缺勤管理顾问
72,abseiling instructor,高空跳伞教练
76,absorption operator,吸收操作员
75,absorption and adsorption engineer,吸收和吸附工程师
84,abstractor,摘要员
86,abstract writer,抽象作家
69,abrasive water jet cutter operator,磨料水射流切割机操作员
83,abstract manager,抽象经理
81,abstracter,摘要者
80,abstract clerk,抽象职员
79,abstract checker,抽象检查员
82,abstract maker,抽象制造者
85,abstract searcher,抽象搜索者
77,absorption plant operator,吸收装置操作员
78,absorption plant operator helper,吸收装置操作员助手
87,academic administrator,学术管理员
89,academic adviser,学术顾问
91,academic advisor,学术顾问
90,academic advising director,学术顾问主任
88,academic advisement director,学术咨询主任
92,academic affairs assistant,学术事务助理
96,academic affairs manager,学术事务经理
97,academic affairs specialist,学术事务专员
93,academic affairs coordinator,学术事务协调员
95,academic affairs director,学术事务主任
94,academic affairs dean,学术事务院长
100,academic associate,学术助理
104,academic counselor,学术顾问
99,academic assistant,学术助理
101,academic coach,学术教练
102,academic computing director,学术计算总监
103,academic coordinator,学术协调员
98,academic affairs vice president,学术事务副校长
110,academic intern,学术实习生
113,academic physician,学术医生
105,academic dean,学院院长
107,academic director,学术主任
112,academic manager,学术经理
108,academic guidance specialist,学术指导专家
114,academic program specialist,学术项目专家
116,academic registrar,学术注册员
106,academic department chair,学术部门主任
109,academic hospitalist,学术医院医生
115,academic records specialist,学术记录专家
111,academic interventionist,学术干预者
127,academic vice president,学术副校长
128,academy director,学院院长
119,academic specialist,学术专家
121,academic support assistant,学术支持助理
126,academic tutor,学术辅导老师
125,academic support specialist,学术支持专家
124,academic support director,学术支持主任
118,academic services professional,学术服务专业人员
122,academic support center director,学术支持中心主任
120,academic success coordinator,学术成功协调员
123,academic support coordinator,学术支持协调员
117,academic services coordinator,学术服务协调员
137,access consultant,访问顾问
133,access analyst,访问分析师
134,access assoc,访问协会
140,access coordinator,访问协调员
139,access control specialist,访问控制专家
135,access clerk,出纳员
136,access clinician,访问临床医生
129,academy education director,学院教育主任
138,access control officer,访问控制官员
130,accelerator operator,加速器操作员
131,accelerator systems director,加速器系统总监
132,accelerator technician,加速器技术员
145,accessioner,登记员
152,access rep,访问代表
143,access director,访问总监
150,accessories repairer,配件修理工
151,access registrar,接入注册员
148,access manager,访问经理
146,access lead,访问主管
141,access database developer,访问数据库开发者
142,access developer,访问开发者
147,access liaison,访问联络员
149,access nurse,访问护士
144,accessibility lift technician,无障碍电梯技术员
164,accident report clerk,事故报告员
160,access specialist,访问专家
159,access spec,访问权限
163,accident investigator,事故调查员
162,accident examiner,事故检查员
155,access service representative,接入服务代表
153,access representative,访问代表
158,access services representative,接入服务代表
154,access rn,访问注册护士
161,access tech,访问技术
156,access services assistant,访问服务助理
157,access services librarian,访问服务图书馆员
173,accountant,会计
174,accountant assistant,会计助理
171,account analyst,会计分析师
169,account administrator,会计管理员
170,account advisor,财务顾问
166,accordion repairer,钢琴修理师
172,accountancy professor,会计学教授
168,account adjuster,会计调整员
175,accountant auditor,会计审计师
165,accordion maker,手风琴制造者
176,accountant bookkeeper,会计、出纳员
167,accordion tuner,手风琴调音师
181,accountant cost,会计师
184,accountant manager,会计经理
182,accountant helper,会计助理
178,accountant certified public,会计师注册会计师
179,accountant clerk,会计文员
180,accountant controller,会计、财务主管
183,accountant machine processing,会计师机器处理
177,accountant budget,会计师预算
189,account assistant,会计助理
187,accountant systems,会计系统
186,accountant supervisor,会计主管
190,account associate,会计助理
191,account auditor,会计审计员
185,accountant property,会计师物业
195,account consultant,会计顾问
188,accountant tax,会计师税务
200,account development executive,客户开发执行
192,account classification clerk,会计分类员
198,account developer,会计开发人员
193,account clerk,会计文员
199,account development associate,账户发展助理
197,account coordinator,会计协调员
196,account contact associate,会计联络助理
194,account collector,账单收款员
204,account director,会计主管
201,account development manager,客户发展经理
202,account development representative,客户发展代表
203,account development specialist,账户发展专员
206,account executive,客户经理
205,account engineer,会计工程师
213,account executive trainee,客户经理实习生
207,account executive agribusiness,农业业务客户经理
211,account executive sales representative,客户经理销售代表
209,account executive key accounts,客户经理关键账户
210,account executive metalworking,客户经理金属加工
219,accounting administrator,会计管理员
214,account financial manager,财务经理
215,account general manager,会计经理
212,account executive software sales,客户经理软件销售
216,account group supervisor,会计小组主管
218,accounting administrative assistant,会计行政助理
217,account information clerk,会计信息员
208,account executive healthcare,客户经理健康护理
222,accounting assistant,会计助理
223,accounting associate,会计助理
221,accounting analyst,会计分析师
228,accounting consultant,会计顾问
229,accounting coordinator,会计协调员
230,accounting director,会计总监
220,accounting advisory services manager,会计咨询服务经理
225,accounting bookkeeper,会计记账员
231,accounting file clerk,会计档案员
224,accounting auditor,会计审计员
226,accounting clerk,会计文员
227,accounting clerks supervisor,会计主管
235,accounting intern,会计实习生
234,accounting instructor,会计教师
236,accounting lecturer,会计讲师
240,accounting manager,会计经理
238,accounting machine operator,会计机器操作员
243,accounting manager cpa,会计经理注册会计师
232,accounting/finance tutor,会计/财务导师
239,accounting machine servicer,会计机器维修工
233,accounting generalist,会计通才
237,accounting machine mechanic,会计机器维修工
241,accounting manager assistant controller,会计经理助理控制员
242,accounting manager controller,会计经理控制员
249,accounting professional,会计专业人士
255,accounting specialist,会计专家
250,accounting professor,会计教授
253,accounting representative,会计代表
246,accounting officer,会计官员
254,accounting software specialist,会计软件专家
244,accounting methods analyst,会计方法分析师
245,accounting office manager,会计办公室经理
248,accounting practice manager,会计实践经理
252,accounting recruiter,会计招聘人员
247,accounting policy consultant,会计政策顾问
251,accounting reconciliation clerk,会计对账员
256,accounting supervisor,会计主管
262,accounting technician,会计技术人员
266,account leader,会计主管
258,accounting system expert,会计系统专家
257,accounting support specialist,会计支持专家
261,accounting teacher,会计教师
264,account installation specialist,会计安装专家
267,account liaison,会计联络员
260,accounting systems manager,会计系统经理
259,accounting systems analyst,会计系统分析师
265,account installer,会计安装工
263,accounting tutor,会计辅导老师
272,account manager,客户经理
277,account manager relief,会计经理
271,account management specialist,账户管理专家
279,account manager trainee,会计经理实习生
269,account maintenance representative,账户维护代表
270,account management assistant,客户管理助理
274,account manager education,客户经理教育
278,account manager sales representative,客户经理销售代表
275,account manager employee benefits,会计经理员工福利
276,account manager forest service,会计经理森林服务
268,account liaison hospice,会计联络员，临终关怀
273,account manager b2b,B2B账户经理
286,account representative,会计代表
280,account officer,会计员
283,account receivable associate,应收账款助理
281,account planner,会计规划师
287,account resolution analyst,账户纠纷分析师
285,account relationship manager,客户关系经理
284,account receivable clerk,应收账款职员
282,account processor,会计处理员
293,accounts administrator,会计管理员
290,account retention representative,客户保留代表
288,account resolution expert,账户纠纷专家
292,accounts adjustable clerk,会计调整员
291,account review specialist,会计审查专家
289,account resolution specialist,账户纠纷解决专家
297,account service representative,会计服务代表
298,account services analyst,会计服务分析师
294,accounts clerk,会计文员
299,account services associate,会计服务助理
296,account service associate,会计服务助理
295,accounts collector,账单收款员
304,accounts executive,会计主管
300,account services coordinator,会计服务协调员
303,account services specialist,会计服务专家
305,accounts manager,会计经理
302,account services representative,会计服务代表
301,account services manager,会计服务经理
306,accounts officer,会计员
309,accounts payable administrator,应付账款管理员
316,accounts payable lead,应付账款主管
308,accounts payable accountant,应付账款会计师
307,account solutions analyst,账户解决方案分析师
317,accounts payable manager,应付账款经理
312,accounts payable associate,应付账款助理
311,accounts payable assistant,应付账款助理
310,accounts payable analyst,应付账款分析师
314,accounts payable clerk,应付账款职员
315,accounts payable coordinator,应付账款协调员
313,accounts payable bookkeeper,应付账款簿记员
327,account specialist,会计专家
324,accounts payable specialist,应付账款专员
323,accounts payables clerk,应付账款职员
321,accounts payable professional,应付账款专业人员
329,accounts receivable administrator,应收账款管理员
328,accounts receivable accountant,应收账款会计师
325,accounts payable supervisor,应付账款主管
322,accounts payable representative,应付账款代表
326,accounts payable technician,应付账款技术员
320,accounts payable processor,应付账款处理员
319,accounts payable payroll coordinator,应付账款工资协调员
318,accounts payable or receivable clerk,应付账款或应收账款职员
334,accounts receivable clerk,应收账款职员
332,accounts receivable associate,应收账款助理
341,accounts receivable specialist,应收账款专员
331,accounts receivable assistant,应收账款助理
337,accounts receivable executive,应收账款主管
340,accounts receivable representative,应收账款代表
330,accounts receivable analyst,应收账款分析师
338,accounts receivable manager,应收账款经理
336,accounts receivable coordinator,应收账款协调员
339,accounts receivable processor,应收账款处理员
335,accounts receivable collector,应收账款收款员
333,accounts receivable bookkeeper,应收账款簿记员
352,account technician,会计技术人员
343,accounts specialist,会计专家
346,account supervisor,会计主管
344,accounts supervisor,会计主管
348,account support associate,会计支持助理
347,account support analyst,会计支持分析师
342,accounts receivable supervisor,应收账款主管
345,account strategist,账户策略师
349,account support manager,会计支持经理
350,account support rep,会计支持代表
351,account support specialist,会计支持专家
353,account underwriter,账户承保人
356,accreditation specialist,认证专家
355,accreditation manager,认证经理
361,accuracy expert,精确度专家
360,acct exec,会计执行
358,accredited legal secretary,认证法律秘书
357,accredited farm manager,认证农场经理
354,accreditation coordinator,认证协调员
359,accredited pharmacy technician,认证的药房技术人员
365,acetone button paster,丙酮按钮粘贴剂
364,acetaldehyde converter operator,乙醛转换操作员
362,ac/dc rewinder,交流/直流绕线机
363,acds block 1 operator,ACDS块1操作员
366,acetone recovery worker,丙酮回收工
368,acetylene cutter,电石切割工
375,acetylene torch solderer,乙炔焊工
371,acetylene operator,乙炔操作员
370,acetylene gas compressor,乙炔气体压缩机
367,acetylene burner,乙炔焊炬
374,acetylene torch operator,乙炔焊工
372,acetylene plant operator,乙炔厂操作员
373,acetylene torch burner,乙炔焊枪操作员
376,acid adjuster,酸度调整师
369,acetylene cylinder packing mixer,乙炔气瓶包装混合器
384,acid conditioner,酸调节剂
382,acid concentrator,酸浓缩工
381,acid cleaner,酸洗工
380,acid changer,酸更换工
379,acid blower,酸吹工
378,acid bleacher,酸漂白工
377,acid bath mixer,酸浴搅拌器
383,acid condenser,酸冷凝器
388,acid cutter,酸切割工
385,acid conditioning worker,酸处理工
387,acid crane operator,酸起重机操作员
386,acid correction hand,酸碱调整手
389,acid dipper,酸洗工
395,acidizer,酸化剂
393,acid filler,酸填充工
392,acid extractor,酸提取器
391,acid etch operator,酸蚀操作员
396,acidizer helper,酸化剂助手
394,acidity tester,酸度测试仪
390,acid dumper,酸液倾倒工
400,acid maker,酸制造商
399,acid loader,酸加载器
398,acid leveler,酸度调节器
397,acidizer water well,酸化剂水井
403,acid painter,酸画家
404,acid patroller,酸巡逻员
401,acid mixer,酸混合工
405,acid plant helper,酸厂助手
402,acid operator,酸处理操作员
408,acid pump operator,酸泵操作员
407,acid pumper,酸泵操作员
406,acid polymerization operator,酸聚合操作员
409,acid purification equipment operator,酸净化设备操作员
410,acid purifier,酸净化工
412,acid regenerator,酸再生器
413,acid remover,酸去除剂
411,acid recovery operator,酸回收操作员
421,acid tester,酸测试员
420,acid tender,酸味师
415,acid splicer,酸接合工
418,acid tank cleaner,酸槽清洁工
419,acid tank liner,酸槽衬里
417,acid supervisor,酸液监督员
416,acid strength inspector,酸度检验员
425,a class lineman,电工
414,acid retort operator,酸回弹操作员
423,acid washer operator,酸洗工
422,acid treater,酸处理工
424,acid wash operator,酸洗操作员
426,acls nurse,护理助理
434,acoustical tile carpenters supervisor,声学瓷砖木工主管
437,acoustic engineer,声学工程师
438,acoustic intelligence specialist,声学智能专家
430,acoustical engineer,声学工程师
428,aco coordinator,活动协调员
427,acls specialist,ACLs专家
429,acoustical carpenter,声学木匠
433,acoustical material worker,声学材料工人
431,acoustical installer,声学安装工
436,acoustical tile patternmaker,声学瓷砖图案制作师
432,acoustical logging engineer,声学录井工程师
435,acoustical tile drill press operator,吸音板钻孔机操作员
449,acquisition manager,采购经理
444,acquisition associate,收购助理
445,acquisition consultant,收购顾问
440,acoustics teacher,声学教师
441,acoustic warfare analyst,声学战分析师
443,acquisition analyst,收购分析师
448,acquisition lead,收购负责人
446,acquisition cost estimator,收购成本估算师
442,acquisition advisor,收购顾问
450,acquisition marketing coordinator,收购市场营销协调员
447,acquisition editor,收购编辑
439,acoustic sensor operator,声学传感器操作员
453,acquisitions analyst,收购分析师
458,acquisition specialist,收购专家
455,acquisitions editor,采购编辑
459,acreage reporter,农田记者
451,acquisition marketing manager,收购市场营销经理
454,acquisitions assistant,收购助理
456,acquisitions librarian,采购图书馆员
452,acquisition professional,收购专业人士
457,acquisitions logistics analyst,收购物流分析师
460,acrobatic dancer,杂技舞者
461,acrobatic rigger,杂技装置工
462,acrylic fabricator,丙烯酸制品制造者
471,acting teacher,演员教师
465,act english tutor,英语家教
469,acting professor,演员教授
464,a/c technician,空调技术员
466,actimize architect,优化架构师
463,a/c tech,会计技术员
467,acting instructor,表演教师
472,action finisher,行动完成者
470,acting section chief,演员部门主管
468,acting manager,执行经理
473,action installer,动作安装工
474,actionscript developer,动作脚本开发者
484,activities attendant,活动助理
482,activities aide,活动助理
483,activities assistant,活动助理
486,activities coordinator,活动协调员
480,active directory specialist,活动目录专家
477,active directory administrator,活动目录管理员
479,active directory engineer,活动目录工程师
475,activated sludge attendant,活性污泥操作员
485,activities concierge,活动礼宾员
476,activated sludge operator,活性污泥操作员
478,active directory architect,活动目录架构师
481,active directory systems administrator,活动目录系统管理员
493,activities specialist,活动专员
487,activities counselor,活动顾问
498,activity assistant,活动助理
490,activities leader,活动负责人
492,activities officer,活动官员
491,activities manager,活动经理
488,activities director,活动总监
495,activities volunteer,活动志愿者
497,activity aide,活动助理
496,activity aid,活动辅助人员
494,activities therapist,活动治疗师
489,activities director scouting,活动策划员、侦察员
502,activity manager,活动管理员
507,actor understudy,演员替补
503,activity specialist,活动专家
508,act tutor,演员教练
501,activity leader,活动负责人
499,activity coordinator,活动协调员
500,activity director,活动策划师
504,activity therapist,活动治疗师
509,actuarial analyst,精算分析师
505,activity therapy specialist,活动治疗专家
506,activity therapy teacher,活动治疗教师
510,actuarial assistant,精算助理
512,actuarial clerk,精算员
511,actuarial associate,精算助理
515,actuarial intern,精算实习生
514,actuarial director,精算主管
513,actuarial consultant,精算顾问
517,actuarial manager,精算经理
516,actuarial internship,精算实习
518,actuarial mathematician,精算数学家
521,actuarial technician,精算技术员
520,actuarial science teacher,精算科学教师
519,actuarial science professor,精算学教授
528,acupuncture physician,针灸医生
529,acupuncturist,针灸师
527,acupressurist,针灸师
522,actuarial trainee,精算实习生
523,actuary,精算师
526,acupressure therapist,针灸治疗师
525,actuary manager,精算经理
524,actuary clerk,精算师助理
531,acute care assistant,急性护理助理
536,acute care nursing assistant,急性护理助理
534,acute care nurse,急性护理护士
532,acute care certified nursing assistant,急性护理认证护士助理
539,acute care physician,急性护理医生
530,acura sales consultant,阿库拉销售顾问
533,acute care clinical nurse specialist,急性护理临床护士专家
540,acute care registered nurse,急性护理注册护士
535,acute care nurse practitioner,急症护理实践护士
537,acute care occupational therapist,急性护理职业治疗师
541,acute care surgeon,急性护理外科医生
538,acute care physical therapist,急性护理物理治疗师
545,acute specialist,急性专家
546,ada accommodation consultant,住宿顾问
542,acute coordinator,急性协调员
543,acute dialysis nurse,急性透析护士
547,adapted physical education aide,适应体育教育助理
548,adapted physical education specialist,适应体育教育专家
544,acute dialysis registered nurse,急性透析注册护士
553,ad clerk,广告职员
554,ad compositor,广告排版员
555,ad copy writer,广告文案作家
549,adapted physical education teacher,适应体育老师
556,addiction counselor,成瘾顾问
557,addiction medicine physician,成瘾医学医师
552,adaptive physical educator,适应性体育教育者
551,adaptive physical education teacher,适应性体育教育教师
550,adaptive physical education specialist,适应性体育教育专家
564,addiction specialist,成瘾专家
558,addiction nurse,成瘾护士
559,addiction professional,成瘾专业人士
561,addictions counselor,成瘾顾问
565,addictions recovery specialist,成瘾康复专家
563,addiction social worker,成瘾社会工作者
562,addictions counselor assistant,成瘾顾问助理
560,addiction psychiatrist,成瘾精神科医生
568,addiction treatment counselor,戒毒治疗顾问
567,addiction therapist,成瘾治疗师
569,adding machine mechanic,计算器维修工
566,addictions therapist,成瘾治疗师
573,addresser,信使
572,address change clerk,地址变更职员
575,addressograph operator,地址印刷员
571,adding machine servicer,计算器维修工
570,adding machine operator,计算器操作员
574,addressing machine operator,地址机器操作员
577,adhesive bandage machine operator,胶布机操作员
576,adhesion tester,粘合强度测试仪
582,adjudication specialist,裁决专家
580,adhesive primer,粘合底漆
589,adjunct faculty instructor,兼职教师
579,adhesive bonding machine operator,粘合机操作员
581,adhesive sprayer,粘合剂喷枪
587,adjunct faculty,兼职教师
586,adjunct english instructor,兼职英语教师
584,adjunct business instructor,兼职商业讲师
585,adjunct communications faculty member,兼职通讯教师
578,adhesive bandage making operator,粘合绷带制造操作员
583,adjunct art history instructor,兼职艺术史教师
590,adjunct faculty mathematics department,兼职数学系教师
588,adjunct faculty for medical terminology,兼职医疗术语教师
597,adjunct lecturer,兼职讲师
592,adjunct instructor,兼职教师
594,adjunct instructor in economics,经济学兼职讲师
598,adjunct mathematics instructor,兼职数学教师
593,adjunct instructor chemistry,兼职化学教师
591,adjunct history instructor,兼职历史教师
596,adjunct latin professor,兼职拉丁语教授
595,adjunct instructor of women's studies,妇女研究兼职讲师
600,adjunct philosophy faculty,兼职哲学教师
599,adjunct nursing faculty,兼职护理教师
601,adjunct phlebotomy instructor,兼职抽血教师
605,adjunct professor,兼职教授
603,adjunct physics instructor,兼职物理教师
602,adjunct physical education instructor,兼职体育教育教师
606,adjunct professor of english,英语兼职教授
607,adjunct professor of law,兼职法学教授
604,adjunct political science instructor,兼职政治学讲师
610,adjunct psychology faculty member,兼职心理学教师
608,adjunct professor of u.s. history,美国历史兼职教授
609,adjunct professor of voice,声乐兼职教授
615,adjunct teacher,兼职教师
618,adjuster,调解员
617,adjunct writing instructor,兼职写作教师
611,adjunct psychology instructor,兼职心理学教师
612,adjunct psychology professor,兼职心理学教授
613,adjunct sociology professor,兼职社会学教授
616,adjunct trainer,兼职培训师
614,adjunct spanish instructor,兼职西班牙语教师
619,adjuster and inspector,调解员和检查员
621,adjuster electrical contacts,调整电气接触
624,adjustment clerk,调整员
622,adjuster leader,调整员领队
626,adjustment supervisor,调整主管
620,adjuster arbitrator,调解员仲裁员
625,adjustment examiner,调整检查员
630,admin assistant,行政助理
628,adjutant general,副官长
629,admeasurer,广告测量员
631,admin asst,管理员助理
632,admin dir,管理员
633,administration assistant,行政助理
636,administration intern,行政实习生
635,administration dean,行政主任
634,administration clerk,行政助理
637,administration internship,行政管理实习
640,administration professional,行政专业人员
623,adjuster piano action,调音师钢琴动作
627,adjusto writer operator,调整员、作家、操作员
639,administration physician,行政医师
638,administration manager,行政经理
641,administration specialist,行政专家
642,administration vice president,行政副总裁
643,administrative accountant,行政会计师
645,administrative analyst,行政分析师
644,administrative aide,行政助理
648,administrative assistant,行政助理
646,administrative and program specialist,行政和项目专家
654,administrative associate,行政助理
655,administrative asst,行政助理
650,administrative assistant data entry,行政助理数据录入
647,administrative appeals tribunal member,行政上诉法庭成员
649,administrative assistant coordinator,行政助理协调员
656,administrative clerk,行政助理
657,administrative coordinator,行政协调员
651,administrative assistant front desk,行政助理前台
653,administrative assistant receptionist,行政助理接待员
660,administrative director,行政总监
652,administrative assistant office manager,行政助理办公室经理
658,administrative court justice,行政法院法官
662,administrative fellow,行政研究员
661,administrative executive,行政主管
659,administrative dietitian,行政营养师
664,administrative intern,行政实习生
665,administrative job titles,行政职位
663,administrative hearing officer,行政听证官员
666,administrative judge,行政法官
670,administrative manager,行政经理
667,administrative law judge,行政法法官
668,administrative liaison,行政联络员
671,administrative medical director,行政医疗主任
669,administrative library assistant,行政图书馆助理
673,administrative office assistant,行政办公室助理
676,administrative officer,行政官员
672,administrative nursing supervisor,行政护理主管
674,administrative office clerk,行政办公室职员
675,administrative office manager,行政办公室经理
677,administrative office specialist,行政办公室专家
679,administrative personal assistant,行政助理
678,administrative operations coordinator,行政运营协调员
680,administrative processor,行政处理员
681,administrative professional,行政专业人员
683,administrative project coordinator,行政项目经理
682,administrative program specialist,行政项目专家
686,administrative resident,行政居民
685,administrative representative,行政代表
687,administrative resources associate,行政资源助理
684,administrative receptionist,行政接待员
688,administrative sales assistant,行政销售助理
689,administrative secretary,行政秘书
690,administrative services assistant,行政服务助理
696,administrative specialist,行政专家
692,administrative services director,行政服务总监
694,administrative services officer,行政服务官员
693,administrative services manager,行政服务经理
698,administrative supervisor,行政主管
697,administrative staff supervisor,行政人员主管
691,administrative services coordinator,行政服务协调员
695,administrative services specialist,行政服务专家
701,administrative support associate,行政支持助理
700,administrative support assoc,行政支持助理
699,administrative support assistant,行政支持助理
702,administrative support clerk,行政助理
710,administrative volunteer,行政志愿者
708,administrative technician,行政技术人员
707,administrative tech,行政技术人员
705,administrative support specialist,行政支持专家
704,administrative support manager,行政支持经理
706,administrative support technician,行政支持技术人员
711,administrator,管理员
709,administrative underwriter,行政承保人
703,administrative support coordinator,行政支持协调员
713,administrator of home health,家庭健康管理员
717,admin secretary,行政秘书
718,admiralty lawyer,海事律师
723,admissions advisor,招生顾问
721,admission nurse,入院护士
719,admission discharge rn,入院出院护士
720,admission liaison,招生联络员
716,admin prog coord,管理员程序协调员
715,administrator social welfare,管理员社会福利
712,administrator health care facility,管理员医疗保健设施
714,administrator pesticide,管理员药剂
722,admission nurse coordinator,入院护士协调员
724,admissions assistant,招生助理
725,admissions clerk,招生职员
730,admissions dean,招生主任
727,admissions consultant,招生顾问
729,admissions counselor,招生顾问
731,admissions director,招生主任
726,admissions clinician,招生临床医生
728,admissions coordinator,招生协调员
735,admissions manager rn,招生经理
733,admissions gate attendant,接待员
736,admissions nurse,招生护士
734,admissions manager,招生经理
741,admissions rn,招生护士
740,admissions representative,招生代表
738,admission specialist,招生专家
737,admissions officer,招生官员
739,admissions recruiter,招生招聘人员
732,admissions evaluator,招生评估员
743,admissions supervisor,招生主管
742,admissions specialist,招生专员
749,admitting interviewer,面试官
750,admitting manager,招生经理
744,admittance attendant,接待员
746,admitting clerk,接待员
748,admitting counselor,招生顾问
745,admitted attorneys,执业律师
751,admitting office escort,接待办公室陪同
753,admitting representative,接待代表
747,admitting coordinator,招生协调员
752,admitting officer,入境官员
755,adobe architect,Adobe建筑师
765,adolescent counselor,青少年辅导员
759,adobe developer,Adobe开发者
754,admitting supervisor,接待主管
761,adobe layer,Adobe图层
762,adobe layer helper,Adobe图层助手
763,adobe maker,Adobe制作者
764,adolescent coordinator,青少年协调员
756,adobe ball mixer,Adobe球混合器
760,adobe flex developer,AdobeFlex开发者
757,adobe block maker,Adobe砖块制造者
758,adobe cq developer,AdobeCQ开发者
769,adon,广告商
768,adolescent specialist,青少年专家
770,ad operations associate,广告运营助理
766,adolescent medicine specialist,青少年医学专家
772,ad operations intern,广告运营实习生
774,adoption agent,收养代理人
773,ad operations specialist,广告运营专员
776,adoption counselor,收养顾问
767,adolescent psychiatrist,青少年精神科医生
775,adoption coordinator,收养协调员
771,ad operations coordinator,广告运营协调员
777,adoption manager,收养经理
779,adoption social worker,收养社会工作者
778,adoption services manager,收养服务经理
781,adoption worker,收养工作者
785,ad trafficker,广告交易员
783,ad taker,广告接受者
782,ad setter,广告设置员
780,adoption specialist,收养专家
788,adult basic education manager,成人基础教育经理
789,adult basic education teacher,成人基础教育教师
787,adult basic education instructor,成人基础教育教师
784,ad terminal makeup operator,广告终端化妆师
786,adult and pediatric neurologist,成人及儿童神经科医生
799,adult education professional,成人教育专业人士
798,adult education manager,成人教育经理
792,adult care manager,成人护理经理
790,adult basic studies teacher,成人基础教育教师
797,adult education instructor,成人教育教师
791,adult caregiver,成人护理员
793,adult care provider,成人护理提供者
796,adult day care worker,成人日间护理工作者
795,adult daycare coordinator,成人日托协调员
794,adult crossing guard,成人交通协管员
800,adult education teacher,成人教育教师
801,adult educator,成人教育者
806,adult literacy teacher,成人识字教师
805,adult literacy instructor,成人识字教师
808,adult manager,成人经理
804,adult high school instructor,成人高中教师
807,adult live in caregiver,成人生活照顾者
802,adult family home program manager,成人家庭护理项目经理
803,adult health clinical nurse specialist,成人健康临床护理专家
811,adult neuropsychologist,成人神经心理学家
809,adult ministries director,成人部门主任
810,adult neurologist,成年神经科医生
812,adult nurse practitioner,成人护士实践者
813,adult parole officer,成年假释官
815,adult protective caseworker,成人保护社会工作者
822,adult specialist,成人专家
816,adult psychiatrist,成人精神科医生
817,adult remedial education instructor,成人补习教育教师
814,adult probation officer,成年缓刑官
818,adult school counselor,成人学校辅导员
819,adult school teacher,成人学校教师
823,advance agent,高级代理人
820,adult secondary education instructor,成人中等教育教师
821,adult services librarian,成人服务图书馆员
824,advanced analytics associate,高级分析助理
825,advanced clinical specialist,高级临床专家
827,advanced manager,高级经理
826,advanced developer,高级开发者
829,advanced manufacturing consultant,高级制造顾问
830,advanced manufacturing engineer,高级制造工程师
828,advanced manufacturing associate,高级制造助理
833,advanced nursing professor,高级护理教授
831,advanced manufacturing technician,高级制造技术员
832,advanced manufacturing vice president,高级制造副总裁
834,advanced practice nurse,高级实践护士
836,advanced practice professional,高级实践专业人士
841,advanced quality engineer,高级质量工程师
842,advanced registered nurse,高级注册护士
839,advanced practice registered nurse,高级实践注册护士
837,advanced practice provider,高级实践提供者
840,advanced practice rn,高级实践护士
838,advanced practice psychiatric nurse,高级实践精神科护士
