职位名称,工作地址,学历要求,工作年限要求,招聘人数,薪资待遇,公司行业,公司性质,公司规模,融资阶段,招聘状态,职位类型,岗位描述,公司介绍,公司工商信息,简历详情页地址,更新日期
内审经理,上海市浦东新区,本科及以上,,2人,4k-6k,保险,国有企业,50-99人,,,全职,岗位职责: 1. 协助开展各类监管专项、合规管理项目，起草监管报告等； 2. 协助公司各部门以提供内外部报送需要的各类信息； 3. 协助起草分公司年度合规检视方案，定期组织合规检视的开展，对接与协调分公司合规检视工作的执行及发现问题的追踪整改，合规检视结果汇总与汇报，分公司合规检视年度报告的审阅等； 4. 对接与协助各部门开展非财务风险评估工作； 5. 定期维护各类合规管理台账，开展问题追踪与分析； 6. 熟悉分公司合规管理事项，作为总部和分支机构的桥梁，支持分公司合规工作并自上而下对分公司进行专业指导； 7. 协助分公司举报案件的汇总和处理支持； 8. 协助分公司与总部合规同事进行沟通，商议从总部层面解决分公司存在的共性问题； 9. 其它上级交办事宜。,公司介绍 · 中国人寿保险（集团）公司属国家大型金融保险企业。2018年，集团公司合并营业收入7684亿元；合并保费收入6463亿元；合并总资产近4万亿元。 · 中国人寿保险（集团）公司已连续17年入选《财富》世界500强企业，排名由2003年的290位跃升为2019年的51位；连续12年入选世界品牌500强，2019年品牌价值达人民币3539.87亿元；所属中国人寿保险股份有限公司继2003年12月在纽约、香港两地同步上市之后，又于2007年1月回归境内A股市场，成为全球第一家在纽约、香港和上海三地上市的保险公司。,,https://www.ncss.cn/student/jobs/GT3zC7c2sN7TVke7jBppA1/detail.html,2024-05-15 14:59:22
理赔服务部.非车理赔室.财产险理赔岗(J15744),上海市杨浦区,本科及以上,,2人,7k-12k,保险,国有企业,50-99人,,,全职,岗位职责: 1.非车险案件处理； 2.风险查勘工作的安排与落实； 3.分公司理赔数据分析； 4.分公司理赔管理及考核工作； 5.公司其他指定工作任务。 任职要求: 1.熟悉非车险理赔流程及案件处理（包括企财险、工程险、水险、责任险）； 2.熟悉保险理赔各数据定义，善于统计分析； 3.沟通能力强，善于与内外部及上下级进行沟通； 4.3年以上相关工作经验。,公司介绍 · 中国人寿保险（集团）公司属国家大型金融保险企业。2018年，集团公司合并营业收入7684亿元；合并保费收入6463亿元；合并总资产近4万亿元。 · 中国人寿保险（集团）公司已连续17年入选《财富》世界500强企业，排名由2003年的290位跃升为2019年的51位；连续12年入选世界品牌500强，2019年品牌价值达人民币3539.87亿元；所属中国人寿保险股份有限公司继2003年12月在纽约、香港两地同步上市之后，又于2007年1月回归境内A股市场，成为全球第一家在纽约、香港和上海三地上市的保险公司。,,https://www.ncss.cn/student/jobs/FLpwAaFiHhz2bskuUonkBH/detail.html,2024-05-15 14:59:31
车险业务支持岗,上海市嘉定区,专科及以上,,5人,10k-15k,保险,国有企业,50-99人,,,全职,职位描述： 1、协助公司车险业务团队进行业务推动工作 岗位要求： 1、本科及以上学历 2、有相关车险业务支持、运营经验，了解保险公司不同险种产品经验者优先 3、良好的团队合作精神，优秀的人际交往和协调能力，工作主动性强,公司介绍 · 中国人寿保险（集团）公司属国家大型金融保险企业。2018年，集团公司合并营业收入7684亿元；合并保费收入6463亿元；合并总资产近4万亿元。 · 中国人寿保险（集团）公司已连续17年入选《财富》世界500强企业，排名由2003年的290位跃升为2019年的51位；连续12年入选世界品牌500强，2019年品牌价值达人民币3539.87亿元；所属中国人寿保险股份有限公司继2003年12月在纽约、香港两地同步上市之后，又于2007年1月回归境内A股市场，成为全球第一家在纽约、香港和上海三地上市的保险公司。,,https://www.ncss.cn/student/jobs/D66t3sFa4n1zEgqHdJszA6/detail.html,2024-05-15 14:59:40
货运险顾问,上海市静安区,专科及以上,,3人,8k-12k,保险,国有企业,50-99人,,,全职,1、开拓货运险客户，以及其他财产险如：综合责任险、员工福利险、船舶险等，达成年度业绩目标； 2、回答客户对各险种需求的咨询（货运险，财产险等），设计保险方案满足客户需求； 3、定期线上维护客户； 4、贯彻执行相关业务管理政策及制度； 5、完成领导交办的其他工作任务。 任职要求： 1、统招大专及以上学历，保险、物流、国际贸易等相关专业优先； 2、加分：具备保险相关工作经验或物流行业经验，及业务开拓经验； 3、加分：熟悉保险行业基础知识，保险行业操作流程； 4、具备喜欢表达能力、执行力强，抗压能力强。,公司介绍 · 中国人寿保险（集团）公司属国家大型金融保险企业。2018年，集团公司合并营业收入7684亿元；合并保费收入6463亿元；合并总资产近4万亿元。 · 中国人寿保险（集团）公司已连续17年入选《财富》世界500强企业，排名由2003年的290位跃升为2019年的51位；连续12年入选世界品牌500强，2019年品牌价值达人民币3539.87亿元；所属中国人寿保险股份有限公司继2003年12月在纽约、香港两地同步上市之后，又于2007年1月回归境内A股市场，成为全球第一家在纽约、香港和上海三地上市的保险公司。,,https://www.ncss.cn/student/jobs/JACwBFixU4rVYaFuU3Xu3t/detail.html,2024-05-15 14:59:49
运营专员（五险一金+双休）,上海市松江区,专科及以上,,5人,4k-8k,综合领域经营,合资企业,100-499人,,,全职,岗位内容： 1. 协助公司业务部门完成各类业务事宜，对接客户需求，协同团队完成方案撰写、谈判、签约等系列工作； 2. 负责维护客户关系，做好客户服务工作，及时发现和解决客户服务问题； 3. 协助公司内部部门间的协调与沟通，做好信息归档、统计和汇总等后勤保障工作； 4. 负责执行上级领导交给的其他任务。 任职要求： 1. 具备良好的沟通能力和写作能力，大专及以上学历； 2. 较强的协调和组织能力，能够快速适应工作节奏和要求； 3. 具备优秀的客户服务和问题解决能力，善于挖掘客户需求； 4. 积极主动主动，具有良好的职业素养和团队合作精神。,中宏集团是中外合资公司，由加拿大宏利旗下的宏利/中国中化集团公司核心成员——中化集团财务有限责任公司合资组建。现已拥有逾2000名员工和12000名营销员，为280万客户提供专业的金融服务。中宏在上海、北京、广东、浙江、江苏、四川、山东、福建、重庆、辽宁、天津、湖北、河北、湖南和陕西等地的50多个城市稳步发展，不断迈向全国。中国市场深耕经营二十六年，致力于为公众提供稳健可靠、深受信赖和具有远见的产品和服务。,,https://www.ncss.cn/student/jobs/TuPqBnKTnWudhm5Rnwt6Nu/detail.html,2024-05-15 14:59:58
车险业务支持岗,上海市闵行区,本科及以上,,2人,10k-15k,综合领域经营,合资企业,100-499人,,,全职,薪资：底薪10000-15000+奖金+饭补 职位描述： 1、协助公司车险业务团队进行业务推动工作 岗位要求： 1、本科及以上学历 2、有相关车险业务支持、运营经验，了解保险公司不同险种产品经验者优先 3、良好的团队合作精神，优秀的人际交往和协调能力，工作主动性强,中宏集团是中外合资公司，由加拿大宏利旗下的宏利/中国中化集团公司核心成员——中化集团财务有限责任公司合资组建。现已拥有逾2000名员工和12000名营销员，为280万客户提供专业的金融服务。中宏在上海、北京、广东、浙江、江苏、四川、山东、福建、重庆、辽宁、天津、湖北、河北、湖南和陕西等地的50多个城市稳步发展，不断迈向全国。中国市场深耕经营二十六年，致力于为公众提供稳健可靠、深受信赖和具有远见的产品和服务。,,https://www.ncss.cn/student/jobs/KhpMNoG8K433zsumYwo2aA/detail.html,2024-05-15 15:00:07
车险专员/年薪20W+,上海市浦东新区,专科及以上,,5人,6k-12k,综合领域经营,合资企业,100-499人,,,全职,岗位职责: 1、负责完成权限范围内的保险续期。 2、针对车险用户，进行新车险报价，介绍相关服务; 3、进行老客户回访，挖掘更多潜在客户。 4、不用担心没有经验，公司会进行培训，有自己的师傅带领。 薪资晋升: 1、高稳定薪资:无责任底薪+级别津贴+高提成绩效(车险+非车险)+全勤奖+各类竞赛奖金+年终奖，入职三个月以上的员工平均收入8000元以上、优秀者月薪15000元以上、上不封顶。 2、带薪培训:零基础零门槛，新员工有专业的产品培训和销售技能培训。 3、晋升:每个季度均有晋级机会，内部竞聘机会多。 工作时间:周一至周五，朝八点半晚六点半，每月第一周双休，后面固定周日单休，月休5天左右。 任职要求: 1、大专及以上，年龄20一40岁。 2、性别不限、户籍不限、经验不限。不要求相关经验，公司有专业带薪培训(90%新进员工都没有相关经验)。 3、普通话标准、流畅，有上进心。 国企直招、超多福利，高起点平台，期待你的加入!,中宏集团是中外合资公司，由加拿大宏利旗下的宏利/中国中化集团公司核心成员——中化集团财务有限责任公司合资组建。现已拥有逾2000名员工和12000名营销员，为280万客户提供专业的金融服务。中宏在上海、北京、广东、浙江、江苏、四川、山东、福建、重庆、辽宁、天津、湖北、河北、湖南和陕西等地的50多个城市稳步发展，不断迈向全国。中国市场深耕经营二十六年，致力于为公众提供稳健可靠、深受信赖和具有远见的产品和服务。,,https://www.ncss.cn/student/jobs/TcPqd7aGV6SaWzqj8cwPXU/detail.html,2024-05-15 15:00:16
酒店管理，8000保障薪资，储备经理,上海市浦东新区,专科及以上,,2人,10k-15k,综合领域经营,合资企业,100-499人,,,全职,岗位职责： 1、负责门店的业绩、销售计划及量化目标的制订和落实； 2、负责门店的各项业务（如：对门店工作环境和经纪人工作状态的监督，门店会议、销售、培训、签约等）的协调完成； 3、及时整理协调解决客户的各类投诉，并及时反馈有关信息，认真做好门店的各项服务工作。维护公司和门店的服务水平及美誉度； 4、负责制作门店的销售统计与分析报表； 5、帮助经纪人跟单、签单等各项业务； 6、负责对门店内经纪人进行培训和管理，根据实际工作情况向公司建议奖励、留用、处罚及解聘经纪人； 7、定期向总经理提交工作报告及工作计划，服从领导的工作安排，协调好上下级关系； 8、领导交办的任务及其它临时性工作 职位福利：绩效奖金、带薪年假、节日福利、定期团建、带团队、试用期全额 职位亮点：95后年轻销冠团队，一群人一起拼。,中宏集团是中外合资公司，由加拿大宏利旗下的宏利/中国中化集团公司核心成员——中化集团财务有限责任公司合资组建。现已拥有逾2000名员工和12000名营销员，为280万客户提供专业的金融服务。中宏在上海、北京、广东、浙江、江苏、四川、山东、福建、重庆、辽宁、天津、湖北、河北、湖南和陕西等地的50多个城市稳步发展，不断迈向全国。中国市场深耕经营二十六年，致力于为公众提供稳健可靠、深受信赖和具有远见的产品和服务。,,https://www.ncss.cn/student/jobs/8TNmdMX2KVJu6NUJ6w6UU5/detail.html,2024-05-15 15:00:24
市场营销主管,上海市嘉定区,专科及以上,,2人,10k-15k,综合领域经营,合资企业,100-499人,,,全职,"岗位职责： 建设和带领一支超强营销团队，分配个人岗位和工作； 负责公司的市场营销，产品推广，品牌建设，媒体报道，网站体验，线上/线下推广； 能够根据公司战略发展要求，制定全面的网络营销策略；负责市场分析和规划、根据网站及新媒体需要完成定搭建、定位与运营管理； 透过互联网资源、网络媒介推广公司品牌及产品，提高移动互联端产品的曝光度和知名度； 建立品牌领先优势，选择最优推广渠道，并管理预算； 从事网络营销研究、分析与服务工作，把握互联网发展潮流； 根据产品特点，负责线上、线下活动创意、策划、执行等工作，提高用户黏性，持续改善网站及新媒体的服务体验。 任职要求： 本科以上学历，管理类，市场营销类专业，3年以上企业市场管理经验； 深刻理解互联网产品的用户、内容运营； 具有敏锐的市场感知、把握市场动态和市场方向的能力，对市场信息有独到的分析判断能力,了解互联网行业的发展和关键操作与运营； 优秀的营销策划、市场开拓及把握全局的能力；具备优秀的领导能力、团队管理能力，良好的协调、沟通能力； 拥有创新和较强的团队合作精神，善于组织、沟通，拥有较强的执行能力； 有敏锐的洞察力，了解行业背景及掌握行业动态，具有较强的学习、分析、理解、沟通和协调能力。",中宏集团是中外合资公司，由加拿大宏利旗下的宏利/中国中化集团公司核心成员——中化集团财务有限责任公司合资组建。现已拥有逾2000名员工和12000名营销员，为280万客户提供专业的金融服务。中宏在上海、北京、广东、浙江、江苏、四川、山东、福建、重庆、辽宁、天津、湖北、河北、湖南和陕西等地的50多个城市稳步发展，不断迈向全国。中国市场深耕经营二十六年，致力于为公众提供稳健可靠、深受信赖和具有远见的产品和服务。,,https://www.ncss.cn/student/jobs/QqTSDrU6s4aPfq2JGsyTM/detail.html,2024-05-15 15:00:33
非车险核保（财产/责任险核保）,上海市杨浦区,专科及以上,,12人,10k-15k,综合领域经营,合资企业,100-499人,,,全职,一、岗位职责： 1、负责权限范围内非车保单、批单核保、报价工作； 2、负责非车险承保管理，建立非车险承保工作规范和流程，制定操作指引和技术标准； 3、负责组织调查客户风险状况，进行必要的现场风险查勘和风险评估，审核确定非车承保条件及价格； 4、负责进行非车险业务品质监控，建立非车险业务数据分析系统，提出风险控制策略； 5、负责财产险/信用险、责任险等非车险业务政策细化、业务计划与实施，处理机构共保、再保险业务； 6、负责搜集、分析非车保险市场和产品信息，配合产品开发； 7、负责对下辖机构及销售人员提供技术支持、指导与培训。 二、任职要求： 1、本科及以上学历，3年以上非车险两核从业经验，良好的职业操守； 2、熟悉非车险产品、条款及监管政策 3、吃苦耐劳，抗压能力强，具备良好的职业形象及沟通能力； 4、熟练使用OFFIC，特别是PPT\EXCEL； 5、有较强的学习能力。,中宏集团是中外合资公司，由加拿大宏利旗下的宏利/中国中化集团公司核心成员——中化集团财务有限责任公司合资组建。现已拥有逾2000名员工和12000名营销员，为280万客户提供专业的金融服务。中宏在上海、北京、广东、浙江、江苏、四川、山东、福建、重庆、辽宁、天津、湖北、河北、湖南和陕西等地的50多个城市稳步发展，不断迈向全国。中国市场深耕经营二十六年，致力于为公众提供稳健可靠、深受信赖和具有远见的产品和服务。,,https://www.ncss.cn/student/jobs/9FQNVNi9c4Sy4W5EZzDneb/detail.html,2024-05-15 15:00:42
年14薪/纯售后接听客服/班车/奖金,上海市浦东新区,专科及以上,,5人,6k-8k,综合领域经营,合资企业,100-499人,,,全职,一、岗位职责： 1、通过电话、即时通讯工具、邮件等方式解答客户的咨询、受理客户投诉； 2、通过和客户的沟通，有效分析客户需求，提供有效解决方案，提升客户满意度； 二、任职要求： 1、中专或以上，有客服经验者可适当放宽，40周岁以下 2、计算机初级以上，打字速度30字/分以上； 3、有较强的客户服务意识，愿意帮助客户解决问题；,中宏集团是中外合资公司，由加拿大宏利旗下的宏利/中国中化集团公司核心成员——中化集团财务有限责任公司合资组建。现已拥有逾2000名员工和12000名营销员，为280万客户提供专业的金融服务。中宏在上海、北京、广东、浙江、江苏、四川、山东、福建、重庆、辽宁、天津、湖北、河北、湖南和陕西等地的50多个城市稳步发展，不断迈向全国。中国市场深耕经营二十六年，致力于为公众提供稳健可靠、深受信赖和具有远见的产品和服务。,,https://www.ncss.cn/student/jobs/JFfUr1h2vfCJH5eX63dAFx/detail.html,2024-05-15 15:00:51
行政专员,上海市浦东新区,本科及以上,,1人,6.5k-7.5k,能源/矿产采掘/冶炼,民营企业,1000-4999人,,,全职,工作职责 1、负责公司新闻、要事的汇编； 2、负责组织员工文化活动，开展员工活动； 3、负责行政公文、工作报告等起草及日常信息报送工作； 4、负责日常行政工作； 5、完成部门领导安排的其他工作； 任职资格 1、行政管理或相关专业，本科学历； 2、能够熟练使用办公软件； 3、反应力强、具有较好的沟通能力及交际能力，具有亲和力； 4、文字能力强，能够撰写企业文化宣传、会议纪要等文案。,中曼石油天然气集团股份有限公司（简称中曼石油或中曼集团，英文缩写ZPEC），总部坐落于上海浦东新区临港新城工业区，注册资本叁亿陆仟万元，是一家以创建跨国能源公司为企业愿景的石油天然气企业；是国内最具实力的国际化钻井工程大包服务承包商和高端石油装备制造商，具有上、下游一体化的业务优势。公司主要业务涉及钻井工程、钻完井大包服务、石油钻机及装备制造、油气勘探开发、地质勘查工程、国际贸易、车用天然气装置安装和技术服务等。主要与中石油，中石化，中海油，延长石油，卢克石油，贝克休斯，斯伦贝谢，俄罗斯天然气工业股份公司，马来西亚石油，壳牌石油，哈利伯顿 进行合作。公司自成立以来就立足于工程大包服务。公司拥有各类钻机34 台套，年钻井能力在80万米以上；国内现动用9台钻机，服务于中石油长庆油田、中石化华北局、延长石油、SCP；国外现动用钻机25台，曾服务于贝克休斯伊拉克西库尔纳项目、马石油伊拉克格拉芙项目，现服务于俄罗斯天然气伊拉克巴德拉项目、壳牌石油修完井项目、俄罗斯巴斯奈夫BLOCK12项目、埃及水井项目。公司资质荣誉：中华人民共和国对外承包工程经营资格证书；国际钻井承包商协会会员单位；中国机电产品进出口商会会员；中国对外承包工程商会会员；三体系认证证书；上海市高新技术企业；上海市实施“走出去”战略先进企业；2010年度中国最具投资价值50强企业；上海市2010年年度品牌企业；上海市进出口排行榜上榜企业；第四届中国创业投资价值榜潜力企业TOP20强；外贸出口样本企业；推荐出口品牌产品；上海市品牌产品。,,https://www.ncss.cn/student/jobs/RtjJYSQKNUPEDmCQ4DrAYZ/detail.html,2024-05-15 15:01:00
党群行政管培生,上海市浦东新区,本科及以上,,2人,10k-15k,物业管理/商业中心,国有企业,50-99人,,,全职,岗位职责 1.组织开展“三会一课”、党员推优等党内工作； 2.组织开展共青团、纪检监察、工会活动等各项工作，并协助完成活动宣传工作； 3.协助组织召开各类会议，撰写会议纪要； 4.配合落实接待活动和企业文化建设工作，满足公司办公用品、固定资产、后勤物品等的使用需求。 任职资格 1.2024届应届毕业生，本科及以上学历； 2.中共党员或预备党员； 3.有相关实习经验的优先考虑； 4.有学生工作经历或有文体特长的优先考虑。,中建东孚资产管理有限公司，是世界500强企业中国建筑总公司旗下中建八局东孚投资公司（2019年中国房地产开发企业排名第34位）的全资子公司，总部位于上海浦东，负责中建八局和中建东孚持有物业资产的管理和经营。目前，公司经营业态包括商业、办公、公寓、酒店等多种业态，经营范围包括上海、南京、苏州、杭州、青岛、济南、西安等一二线城市，资产价值数十亿元，是一家集资产管理、投资、租赁、金融、酒店管理等多功能的中央直属企业。,,https://www.ncss.cn/student/jobs/Q2EEtZdcpWhzQYtWDx62w/detail.html,2024-05-15 15:01:09
人事助理应届生免费住宿,上海市闵行区,专科及以上,,5人,4k-6k,制药/生物工程,外商独资/外企代表处,500-999人,,,全职,岗位职责： 1、组织开展招聘工作，进行简历筛选及初试人员的约见和选拔工作； 2、进行招聘渠道的拓展、维护及跟进网路招聘信息的发布和更新； 3、协同开展新员工入职培训，业务培训，执行培训计划，以及培训效果的跟踪、反馈； 4、执行人力资源管理各项实务的操作流程和各类规章制度的实施，配合其他业务部门工作； 5、帮助建立员工关系，协调员工与管理层的关系，组织员工的活动； 6、协助人事主管完成办公室其他行政事宜。 岗位要求： 1、大专及以上学历，人力资源或相关专业优先考虑； 2、熟练使用相关办公软件，具备基本的网络知识； 3、具备良好的沟通协调能力、团队合作意识，办事细致、沉稳； 4、做过网络招聘，有预约求职者面试经验的优先考虑。,"一、企业简介 1、上海美满人生生物科技有限公司（美生科技）成立于2006年，总部位于上海市嘉定区，属高新技术企业，拥有多个技术专利；是专业从事有机绿色健康食品研发及营销、生态基地、户外旅游、文化传媒等项目的外资企业。旗下拥有多家分公司及子公司: 上海美满人生生物科技有限公司、中国生机汉方健康食品连锁机构、生机汉方科技（扬州）有限公司、Herbal Wellness 生机汉方澳洲公司、成都益而乐科技有限公司、崇明一农生态农庄、上海正念百纳文化传媒有限公司、上海美满人生旅行社有限公司、上海生机汉方松鹤堂中医门诊部、上海企莲商贸有限公司、上海长养贸易有限公司等 其中生机汉方健康食品连锁机构已在全国开拓20多个市级市场、58家“生机汉方”品牌连锁门店，范围覆盖上海、江苏、浙江、贵州、江西、四川、山东等地区，与美满人生集团旗下其他业务板块共同为顾客提供安全、营养、健康的生活，成就快乐长寿和谐的美满人生 2、公司六大板块：饮食安全(营养)、自然养生(古法)、预防保健(功能)、文化传媒(策划)、旅游度假(基地)、中医门诊(养生) 二、企业愿景 美满人生积极响应健康中国2030的号召，在诚信经营、规范发展的基础上，将旗下生机汉方品牌辐射全国一线、二线发达城市。大力发展企业多元项目，满足广大会员饮食、养生、保健、传媒、旅游、金融等需求，成为中国有机产业规模化企业。企业壮大，成果共享，成就优秀员工的创业梦想、老板梦想；所以美满人生欢迎您的加入 <img alt=""42ef13faebfe6de3a9cc670e8947647.png"" src=""//job.ncss.cn/student/picturecompany?path=a4mbkauvq9gqeg6h.png&name=42ef13faebfe6de3a9cc670e8947647.png"" title=""42ef13faebfe6de3a9cc670e8947647.png"">",,https://www.ncss.cn/student/jobs/Sqoui9oBicEeZTqxPZsuaz/detail.html,2024-05-15 15:01:18
人力资源岗,上海市浦东新区,硕士及以上,,人数不限,10k-20k,专业服务（财会/法律/翻译/人力资源等）,国有企业,100-499人,,,全职,上海唐银投资发展有限公司是中国金融期货交易所于2015年收购成立的全资子公司，注册资本金25.8亿元，主要承担中金所技术研发基地（唐镇数据中心）建设和建成后基础设施运维管理，以及中金所行政后勤服务保障功能。 一、岗位职责： （1）负责完善公司人力资源相关制度体系； （2）负责招聘、培训和员工关系管理工作，协助开展绩效薪酬管理等工作； （3）完成上级领导安排的其他工作。 二、岗位要求： （1）硕士及以上学历，人力资源管理、财会、行政管理、工商管理等相关专业； （2）有国企相关工作实习经验者优先，中共党员优先； （3）具有较强的表达沟通能力、组织协调能力、执行能力和公文写作能力。 三、招聘流程 网上报名→简历筛选→线上笔试→初试→线上谈话→线下复试→政审与体检→录用,上海唐银投资发展有限公司（以下简称“唐银公司”）是 中国金融期货交易所（以下简称“中金所”）于 2015 年收购成 立的全资子公司，注册资本金 25.8 亿元，主要承担唐镇数据 中心建设和建成后基础设施运维管理，以及中金所行政后勤 服务保障功能。中金所唐镇数据中心（中金所技术研发基地） 是上海市重大建设工程，将成为证券期货行业的重要信息技 术基础设施，作为中金所主数据中心和行业核心机构托管数据中心。,,https://www.ncss.cn/student/jobs/D63H27xDfxAwjcJGWbg7BQ/detail.html,2024-05-15 15:01:27
公益英语培训项目助理,上海市徐汇区,本科及以上,,2人,2.5k-4k,专业服务（财会/法律/翻译/人力资源等）,民营企业,1-49人,,,兼职,元哲咨询招聘公益英语培训项目助理 背景： 元哲咨询计划近期开始在上海承办某国际机构资助的公益（免费）英语工作培训，旨在帮助弱势群体提升英语水平，以及工作技能，帮助他们能够获得更好的融入社会，获得更多的发展机会。每期学员总数大约20人，培训时长大约40工作日。 培训地点在上海市徐汇区，暂时为线下培训。因此我们需要招聘一到两位助理。 大致招聘要求： (1)男女不限 (2)本科或以上学历，具有一定的英文水平，能读写基础的英文资料。 (3)具有耐心和爱心，因为学员可能会包含残障人士及社会底层劳动者。 工作职责： (1)负责联系学员，及时提醒学员参加培训，记录学员的出勤状况，并在培训现场为学员提供必要的帮助。 (2)负责联系授课教师，跟进培训课程计划。助理本人无需授课。 (3)协助公司和爱心企业进行学员外出参观对接、外联等活动。 (4)其他临时事宜。 工作地点、时间及待遇： 工作地点：徐汇区龙吴路1500号附近 工作时间：每周出勤3-4天（含工作日及周末），工作时间为9：00-17：00，如有外出参观活动可能工作时间会有变化。 待遇：基本薪资为每天150-200元人民币，包午餐及饮料，零食。本项目如圆满完成，助理人员会获得证书及奖金。,"CRI元哲咨询通过原创的研究调查报告，管理解决方案和定制服务在市场、技术趋势、最佳实践以及商业情报等领域为企业提供市场研究，行业研究，投资咨询，竞争对手情报调查及企业管理咨询等服务。 公司优势： 我们的研究团队依托丰富的管理学、经济学、金融学、会计学、理工科等知识与企业管理实务经验，坚持严谨的工作态度 ，利用先进的管理工具与方法，在电子电工、医疗卫生、造纸印刷、互联网电信、快速消费品、食品饮料、餐饮娱乐、能源机械、汽车轮胎和石油化工等领域进行交叉研究，赢得了多个领域内客户的亲睐。 经过长期的实践，元哲建立了自己的研究方法与服务模式；通过大量通过原创的研究调查报告，管理解决方案和定制服务在市场、技术趋势、最佳实践以及商业情报等领域为客户提供有效的参考。 公司与美国、加拿大、澳洲、香港等地的多个研究机构建立战略合作关系，获得了丰富的国际资源和先进的研究方法与战略思想。 公司整合资源，以市场研究为基础，以国际投资与国内政策为导向，开始为客户提供投资咨询服务。 元哲咨询与Bloomberg Research， AFS-Research，Engalco Research，Emerging Markets Direct，Nanomarkets建立战略合作伙伴关系。 公司与越南等多个东南亚国家的工业园区、投资顾问开展了合作，协助中国企业在东南亚及其他海外市场建立分部，发掘投资机会！ 多年来，元哲坚持独立研究和客户优先的原则，在国内外市场研究领域，赢得了众多客户的青睐。 未来，元哲将继续深入研究中国市场乃至全球市场的发展趋势。坚持高效、可信、准确和专注的理念为客户提供服务，使客户获得的价值最大化，从而共创精彩事业。 元哲提供灵活的个性化服务，满足不同客户的需求。元哲为专业投资咨询机构提供第三方行业调查与市场研究，参与过众多IPO项目；为大型企业决策者提供决策依据，市场竞争分析，投资分析报告；同时，元哲也愿意服务中小企业，辅助其投资战略规划，项目可行性分析。 元哲咨询服务过的部分成功IPO项目如下： TIME INTERCONNECT TECHNOLOGY LIMITED 汇聚科技有限公司 (01729.HK) Tongda Hong Tai Holdings Limited 通达宏泰控股有限公司 (02363.HK) Wealth Glory Holdings Limited 富譽控股有限公司（08269.hk） China Aluminum Cans Holdings Limited 中国铝罐控股有限公司（06898.hk） China Ludao Technology Co.,Ltd.中国绿岛科技有限公司（02023.hk） Yan Tat Group Holdings Limited恩达集团控股有限公司（01480.hk） Sinotop Holdings Berhad (114842-H) 元哲咨询多年来一直坚持维才是举的理念，只要你： 1.有扎实的专业基础知识、行业经验及良好的学习能力 2.热爱行业研究/市场研究，并将此作为毕生的事业 3.有专业的工作态度及工作精神，有独立思考的能力 4.不断进取，勇于接受挑战 5.团队合作精神 那么，请不要错过这里的机会，赶快加入我们吧。",,https://www.ncss.cn/student/jobs/G1NfweYFHyuzt5AZ7jN7eo/detail.html,2024-05-15 15:01:36
行政助理,上海市闵行区,专科及以上,,2人,3k-3.5k,制药/生物工程,民营企业,100-499人,,,实习,协助负责办公用品、清洁用品标准的制定，收集月度计划，跟踪采购； 协助负责会议室申请流程、会议室调配、会议室设施的管理； 协助负责监督办公区域卫生清洁，保洁公司的管理； 协助负责办公区域公共设施维修、维护、保养，确保公共设施完好； 协助负责员工宿舍租赁及安排； 协助负责公司会议的组织、活动后勤服务保障； 协助负责参观及来访接待工作； 协助负责公司固定资产的盘点工作等； 以及上级领导安排的其他工作。,"探因医学科技(浙江)有限公司是专注于病原微生物临床分子诊断产品研发和临床检测服务的高新科技企业，也是国内较早一批进入病原体宏基因组二代测序临床应用赛道的企业。公司已在上海、广州、成都等多地设立医学检验实验室，拥有完整质量体系认证、先进检验设施和技术人才储备，提供高效便捷的新冠核酸检测及其它感染性疾病病原体临床检测服务。业务范围覆盖北京、上海、广州等 24 个区域，已与全国 300 余家三甲医院开展临床与科研合作，科研项目达百余项，团队已发表 SCI 高影响因子文章数十篇。 自创立起，探因医学一直以“创新”与“合规”来严格保障质量体系，力求采样、检测、分析的每一个环节做到高品质输出。从自主研发的 MicroRich？病原体核酸富集技术、译血原？—mNGS 双流程血液检测产品、到 PathoSelect-IVD 病原微生物测序数据分析软件，探因医学在自主研发及技术创新的道路上不断前进。同时，探因医学 mNGS 基因检测服务顺利获 ISO9001 质量体系认证、获临床基因扩增检验实验室技术审核验收合格证书、并连续高分通过国家卫生健康委临床检验中心（National Center for Clinical Laboratories, NCCL）组织的全国下呼吸道感染宏基因组测序室间质量评价，以及上海临床检验质量控制中心 2022年血浆微生物游离 DNA 宏基因组高通量测序（调查项目）室间质评。 作为国内病原微生物检测领域的先驱者,探因医学始终坚持“探渊寻隐，识原明因”的信念，与临床专家共同努力一道攻克病原体请准诊断的技术难点,用先进的医疗产品与服务,为大众健康保驾护航。",,https://www.ncss.cn/student/jobs/VPjKQcQGuVx5fa3QNBaSis/detail.html,2024-05-15 15:01:44
