岗位描述,技术栈
"岗位职责：功能开发(独立解决问题能力)1、负责日常产品迭代开发和维护任职资格：30岁以上优先1、2年以上saas产品开发(多租户)或电商平台工作经验；2、熟练.net core 、EF开发和高并发开发经验。3、熟练Mysql数据库；4、具有较强责任心, 具有团队合作精神, 自学能力强，有创新探索能力；5、需要有前端小程序和vue开发基本经验，有全栈能者优先","技术栈: 

1. .NET Core
2. EF
3. Mysql
4. Vue
5. 小程序（前端）"
职责描述： 1.根据项目要求，承担子模块的开发任务，按计划完成目标。 2.负责编制与项目相关和产品相关的技术文档。 3.协助测试人员完成软件系统及模块的测试。任职要求： 1.大学本科及以上学历，计算机、软件、通信、自动化等相关专业，两年以上.NET Core应用开发项目经验；2.有扎实的编程基础，理解面向对象编程思想，熟悉常用设计模式，有良好的程序习惯；3.精通.NET Core相关技术，并熟悉Linux环境下.NET Core运行的相关配置；4.对跨平台、微服务、有一定的理解，有微服务编程经验者优先；5.熟悉SQLServer、MySQL、Redis等数据库，具有良好的SQL编写能力；6.良好的沟通能力；7.有实际项目经验的毕业生亦可。福利：五险一金、绩效奖金、年终奖金、餐饮补贴、交通补贴、节日福利、定期体检、带薪年假、周末双休,"技术栈: 

1. .NET Core
2. Linux
3. SQL Server
4. MySQL
5. Redis"
".net开发工程师岗位职责：1、负责项目开发与技术支持；2、独立完成模块的设计、编码、测试工作，有良好的编码习惯；3、按照项目计划，在保证质量的前提下、按时完成开发任务；4、和项目相关管理、测试和需求等人员沟通和合作。5、负责分析并解决软件开发过程中的技术问题和难点；任职要求：1、两年以上.NET/ASP.NET（C#、WCF、WebAPI等）开发工作经验，了解多线程相关技术；2、熟练使用MySQL数据库，掌握数据库设计、数据库性能优化等；3、熟练使用ORM框架如（EF、Dapper、Chloe）其中一种或其他4、对.NET Core有所了解,熟悉Socket编程对TCP/IP协议有一定了解.5、良好的逻辑思维能力和团队合作，快速分析和解决问题的能力，工作积极主动、责任心强、工作踏实严谨；6、具有较强的自我学习，自我提高的能力。","技术栈:

1. .NET
2. ASP.NET
3. C#
4. WCF
5. WebAPI
6. MySQL
7. EF
8. Dapper
9. Chloe
10. .NET Core
11. Socket编程
12. TCP/IP协议"
岗位职责简述：1、 参与公司新产品的研发和设计；2、 参与公司现有产品的维护和升级；3、 配合领导共同完成安排的工作。岗位要求：1、专科以上学历，计算机相关专业，2年以上实际开发经验2、熟悉 .NET Core、SQL Server、Redis、RabbitMq，3、熟悉常见设计模式，有良好的代码编写习惯，4、能够独立思考和解决技术问题，喜欢钻研技术，能在开发过程中保持敏锐的思考，寻求最优解决方案，5、对技术充满热情、有团队合作精神6、有电商交易，营销活动开发，ERP进销存，WMS仓储开发经验的优先，熟悉微盟有赞等私域管理的优先福利待遇：1、上班时间：上午9：00-12：00、下午13:30-18:00（双休）。2、享受国家法定节假日和春节年假。3、健全的社保体系，提供五险及住房公积金。4、常年备有零食水果，不定期下午茶，不定期组织聚餐、团建活动5、传统节日派发礼品6、加班有加班费，加班包餐7、健全的晋升和培训机制，团队核心骨干有年底分红。上班地址：广州越秀区浙江大厦,"技术栈：

1. .NET Core
2. SQL Server
3. Redis
4. RabbitMq"
"岗位职责：1. 负责独立模块的开发工作, 按产品设计需求完成功能开发；2. 参与项目，完成项目定制开发，接口对接，以及部分文档工作；3. 对自己完成的功能，进行功能测试，查出功能存在的缺陷并保证其质量；4. 参与产品的设计，对运维阶段的项目进行更改或升级；5. 积极配合团队成员提升团队整体工作效率。任职要求：1.本科及以上学历，计算机技术，软件技术专业优先；1. 3年以上工作经验，熟悉.Net平台和C#语言；2. 有.NET Core的实际使用经验，了解ABP及DDD设计模式；熟悉分布式架构；3. 熟悉mysql，redis，estaticsearch，mongodb，mq 其中2项；4. 具有标准化、规范化的代码书写习惯，对代码进行单元测试。公司介绍：我们公司是整个华南市场规模最大的专注于建工培训考证的在线教育机构。目前成立已有19年的发展历史，在建工行业拥有极佳的口碑，我们公司可以提供行业一条龙服务，主要有资格证培训、学历提升、职称评定、资质项目、企业内部培训、人才猎聘等等业务。","技术栈: 

1. .NET
2. C#
3. .NET Core
4. ABP
5. DDD
6. MySQL
7. Redis
8. Elasticsearch
9. MongoDB
10. MQ"
"2年以内经验的勿扰岗位职责：1. 根据需求文档协助完成后端模块的设计、开发任务2. 能协助处理和解决所产生的编程问题3. 具备良好的代码编写习惯以及文档编写能力任职要求：1. 熟悉.net（asp.net core6.0+，.net framework，C#）2. 熟悉SQL Server、MySQL、Redis3. 有较强的责任心，沟通能力4. 2年以上后端经验,应届毕业生勿扰；5. 熟悉winform技术的优先6. 熟悉Git代码管理工具岗位福利：1、项目提成；2、节日福利；3、五险一金。","技术栈: 

1. .NET 
2. ASP.NET Core 6.0+ 
3. .NET Framework 
4. C# 
5. SQL Server 
6. MySQL 
7. Redis 
8. WinForm 
9. Git"
岗位职责：1. 负责项目方案具体项目模块的开发与维护2. 按照项目计划、按时提交高质量代码、完成开发任务、 解决项目实施过程中出现的技术问题 职位要求：1.全日制本科以上学历，5年以上.NET开发工作经验，计算机相关专业优先；2.熟悉Visual Studio/VS Code等IDE环境及相关源代码管理工具；3.具备丰富的.Net Framework /.Net Core、 C#、 ASP.NET、 Restful以及数据库开发经验；4.熟悉web前端开发技术：HTML5、 Ajax、JavaScript、jQuery、CSS、 EasyUI、 HighCharts、 ECharts、 WebSocket等；5.熟悉敏捷开发，具备良好的编码风格和面向对象的编程思想；9.有过航空业务系统开发经验的优先,"技术栈：

1. .NET Framework
2. .Net Core
3. C#
4. ASP.NET
5. Restful
6. Visual Studio
7. VS Code
8. HTML5
9. Ajax
10. JavaScript
11. jQuery
12. CSS
13. EasyUI
14. HighCharts
15. ECharts
16. WebSocket"
【开发工作理念】爱迅力求开发出引领行业进步的产品，我们不断探索更好更先进的技术，为用户提供性能稳定、体验良好的产品；【工作内容】1、理解基本的业务需求，并根据设计文档、需求说明完成相应模块的开发任务；2、对自己完成的功能，进行功能测试，查出功能存在的缺陷并保证其质量；3、进行软件的维护工作。【岗位要求】1、熟悉地使用Visual Studio环境进行C#代码的编写和测试；2、有Devexpress 或 .netcore 开发经验者优先；3、熟悉SQL Server的数据库操作，会编写一般的SQL语句；4、能按照规范的软件开发流程，完成编码和测试工作；5、对WebApi、EF框架有一定的了解；6、能够对工作认真负责，有较强的学习能力、钻研精神和良好的团队合作精神；【您将得到】1、由同事协助在短期内熟悉并上手工作；2、职位晋升：爱迅提供双轨制职业发展路线，可往专业路线或管理路线发展；3、 薪酬福利：—薪资待遇：7000-10000/月+丰厚年终奖；—良好的福利待遇：五险一金、月度福利补贴、节日福利、年度体检、员工旅游。,"技术栈:

1. Visual Studio
2. C#
3. Devexpress
4. .NET Core
5. SQL Server
6. WebApi
7. EF 框架"
岗位职责：1. 收集需求并转化为开发计划；2. 根据开发计划结合相关业务场景开发及测试相关系统的功能；3. 承担独立功能模块的分析，设计和实现。任职要求：1. 3年及以上.NET开发经验，具备一定的软件分析与设计能力；2. 精通 C# 和常用的.Net框架（.NET Core、WPF、WinForms、MVC、Entity Framework、LINQ、反射等）具有相关项目开发经验；3. 熟练操作SQL Sever、 MySQL等主流数据库等；4. 熟悉一种或多种前端框架（Angular，Vue等）；5. 具备一定的系统架构能力，具备面向对象的开发思想；6. 具备C/S的应用系统开发经验优先；7. 具备分布式、缓存、DevOps 相关经验优先；8. 能承受一定工作压力，具有团队精神、较强的分析和沟通表达能力；9. 具备高效的分析，快速解决生产环境问题的能力。 公司福利：1. 公司实行双休日，节假日根据国家规定放假；2. 年假：优于国家规定的每年10天年假（从入职月份起算，试用期过后可以享受）；3. 五险一金：公司为员工购买养老、医疗、工伤、失业和生育、住房公积金；4. 礼物：在职员工结婚、生育小孩，公司为员工送上一份礼物；5. 周年免费体检；6. 活动：每月下午茶、体育活动，不定期举办公司层面和部门层面的活动及聚餐；7. 技术等资格考试，深造培训等费用津贴；8. 弹性工作时间，8小时工作制，非***、007，提供餐费补贴、车费补贴等。,"技术栈：

1. .NET
2. C#
3. .NET Core
4. WPF
5. WinForms
6. MVC
7. Entity Framework
8. LINQ
9. 反射
10. SQL Server
11. MySQL
12. Angular
13. Vue"
"岗位职责1、负责MES系统功能、接口开发2、参与需求交接和评审，根据需求文档编写概要设计、详细设计；3、根据详细设计文档进行代码开发，参与代码评审；4、负责定位和解决线上异常问题；5、抽象服务业务逻辑，形成通用的业务组件，能够为业务复用，提高开发的效率任职要求1、本科三年以上开发经验；2、C#基础扎实，熟练掌握 asp .net mvc, winform, webapi ，ado.net 等常用技术框架,熟悉webapi的常用鉴权方法；3、掌握oracle数据库开发技能，熟练使用游标，存储过程等常用技术；4、良好的编码规范，熟悉常用的设计模式，理解OOP,AOP思想。5、熟悉软件项目开发流程，有MES系统开发经验者优先","技术栈: 

1. C#
2. ASP.NET MVC
3. WinForm
4. WebAPI
5. ADO.NET
6. Oracle
7. OOP
8. AOP"
"1、大专及以上学历，两年以上软件开发工作经验，具备独立的开发能力；2、精通c#、asp.net，.net core,html、javascript，ajax, wcf，多层框架和设计模式开发；3、熟练掌握SQLServer数据库开发技术，可以编写复杂sql语句、视图、存储过程与函数；4、熟悉web项目的整体设计与部署，具有系统性能优化经验，能基于业务需求进行系统分析和系统设计；清晰的软件分层概念；5、精通使用visualstudio，svn等开发工具，有良好的代码风格和逻辑能力；6、熟悉第三方接口的对接和调试；7、具备较强的工作主动性及创新精神，对业界的发展动态有比较密切的关注;8、能够承受工作压力，对NET开发有足够的热情","技术栈：

1. C#
2. ASP.NET
3. .NET Core
4. HTML
5. JavaScript
6. AJAX
7. WCF
8. SQL Server
9. Visual Studio
10. SVN"
"任职要求：①两年的工作经验，优秀的可待遇面议②精通C#语言,熟悉.NET开发技术，熟练掌握B/S架构开发③熟练掌握SqlServer ，熟练使用数据库基本的视图、存储过程、触发器、索引等各种数据库功能；④熟练Asp.NetMVC、Web Api，深入理解WEB开发，熟悉HTTP等网络协议；⑤具有Asp.Net core 实际开发经验⑥有前后端分离项目开发经验者优先.","技术栈: 

1. C#
2. .NET
3. B/S架构
4. SqlServer
5. Asp.Net MVC
6. Web Api
7. Asp.Net Core
8. HTTP"
岗位职责：1、根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务；2、能独立处理和解决所负责的任务；3、负责辅助进行系统的功能定义、程序设计；4、参与相关质量活动，确保软件设计及实现工作按时保质完成。岗位要求：1、大专以上学历， 2年以上开发工作经验，计算机、信息管理或相关专业。2、精通.Net(C#.net、Asp.net、Asp.net Core)、Oracle/SQL Server/MySQL数据库开发技术。3、有零售行业ERP、分销、零售、物流、人力资源、财务系统等开发经历优先。4、具有良好的团队合作、敬业精神。福利待遇：1、五天八小时工作制，周末双休，按国家节假日放假。 2、按国家规定，为员工购买养老、失业、工伤、医疗、生育、医疗保险和住房公积金。 3、公司配有生活区、食堂、运动场所等。 4、员工每年享受带薪年假。5、优秀员工及技术骨干每年给予探亲假。6、每年享有年度旅游、拓展与体检。7、每个季度组织丰富的企业文化活动。8、凡员工有杰出表现或特殊贡献，公司将根据贡献大小，给予相应奖励。9、优雅的办公环境，轻松活泼的公司氛围。,"技术栈: 

1. .Net
2. C#.net
3. Asp.net
4. Asp.net Core
5. Oracle
6. SQL Server
7. MySQL"
"1、根据工作安排高效、高质地完成代码编写，确保符合软件代码规范；2、按照项目经理的要求，进行系统软件的开发；3、负责现有系统或软件的持续优化和改进；4、软件项目相关文档的编写。 岗位要求： 1. 计算机相关专业, 本科以上学历，3年以上工作经验。2. 熟悉.NET 后端开发(.net Framework && .net Core)，有nodeJS实际开发经验，熟练掌握Linq或存储过程操作数据库。4. 了解Javascript、Jquery、Vue JS、React JS等一种或多种JS开发框架。5. 了解HTML、CSS，能简单进行前端的布局。6. 学习能力强, 能短时间承担项目的开发和维护工作。7. 沟通意识好, 在遇到问题能及时沟通和反馈，并能进行问题的分析和提出解决方案。8. 能独立完成英文文档的阅读和理解，英语4级或以上；粤语无明显口音上班地点：天河区海航大厦","技术栈:

1. .NET
2. .NET Framework
3. .NET Core
4. NodeJS
5. Linq
6. Javascript
7. Jquery
8. Vue JS
9. React JS
10. HTML
11. CSS"
岗位职责：1. 3年及以上dotnet方向开发经验；熟练使用asp.net core blazor、数据库等技术。 2. 要有较好的逻辑思维能力和业务理解能力，且有独立解决问题能力；3. 熟悉使用HTML、CSS、前端框架jQuery、JS等脚本语言；4. 熟练使用Linux ，docker容器开发经验；5. 有智能制造或定制家居工作经验者优先。任职要求：1.计算机专业，本科及以上学历，3年及以上工作经验；2.掌握 dotnet/dotnet core ，熟悉linux / 容器开发；3.具有较强的计划、组织、沟通、协调和推进能力，具有较强责任心；4.能接受1个月内出差。,"技术栈：

1. .NET
2. HTML
3. CSS
4. jQuery
5. JS
6. Linux
7. Docker
8. .NET Core"
岗位职责：1. 负责将公司的工作流程使用UiPath流程自动化软件进行开发，上线，测试；2. 负责公司其他数据自动处理工具的开发和维护；3. 负责程序实施后的技术支持和维护工作。职位要求：1. 本科或以上学历，计算机或电子信息等相关专业；2. 具有1年以上的软件开发经验，熟练使用至少一种.NET开发语言，其他如Python、C#、VB等也可；3. 能熟练使用RPA开发工具，有UiPath使用经验。能够搭建RPA开发框架，熟练使用企业级框架进行开发者优先考虑；4. 熟悉网页开发语言，有前端网页开发经验；5. 熟悉VBA的应用和数据库知识；6. 具有较强的沟通能力，逻辑思维能力和学习能力；7. 具有高度的自我责任感和团队合作精神，工作积极主动。,"技术栈：

1. .NET
2. Python
3. C#
4. VB
5. RPA（UiPath）
6. HTML/CSS/JavaScript（前端网页开发）
7. VBA"
"岗位职责：1、参与软件系统分析及设计工作；2、按照项目任务和项目计划，完成模块的设计、编码和测试；3、可以独立的开展并高质量完成开发任务；4、参与代码审核工作，发现和解决存在的技术问题。5、团队协作进行开发，并指导其他软件工程师进行开发和解决问题；6、具有强烈的质量意识。任职资格：1、计算机相关专业大专以上学历；2、精通ASP.NET，.NET CORE MVC开发，有面向对象的分析，设计和开发经验，能独立解决技术问题;3、3年以上.Net项目开发工作经验，熟悉C#、ASP.NET、JavaScript,了解前后端分离4、对SqlServer或者MYSQL数据库有不错的运用和开发经验，熟练了解sql，能进行数据库的性能调优，熟悉了解EF等相关ORM技术。5、对微服务开发，分布式事务，Redis熟悉优先;6、有较好的逻辑思维能力，善于分析解决问题，喜欢挑战性的工作，有完成优秀产品的热情和激情；7、良好的职业修养、责任心强；良好的沟通能力和团队协作精神，抗压能力强；8、有项目管理经验优先；9、有商城系统、小程序、进销存相关经验优先","技术栈：

1. ASP.NET
2. .NET CORE MVC
3. C#
4. JavaScript
5. SqlServer
6. MYSQL
7. Redis
8. 微服务开发
9. 分布式事务"
"岗位职责：根据需求承担需求分析、系统设计、详细设计、编码实现、单元测试等工作。任职要求：1、本科学历，软件工程、计算机科学与技术等相关专业；2、掌握C#编程，.Net Core、异步、多线程等技术，熟悉B/S或C/S体系结构开发；3、掌握SQL Server或MySql等数据库开发，熟悉ORM框架；4、了解HTML,CSS,Javascript,Json,Ajax,XML等Web相关技术；5、具有vue.js、WebGL、H5 Canvas开发能力者优先；6、了解面向对象的设计原则和设计模式，有良好的开发编码习惯；7、工作认真踏实，有责任感和上进心。","技术栈：

1. C#
2. .Net Core
3. 异步
4. 多线程
5. SQL Server
6. MySql
7. ORM
8. HTML
9. CSS
10. Javascript
11. Json
12. Ajax
13. XML
14. Vue.js
15. WebGL
16. H5 Canvas"
【关于企业】企业现有一万四千人左右，两大业务线：全国共计30+家方特乐园+熊出没等IP；双休5天8小时工作制，全额社保公积金。【关于团队】本团队主要做内部综合办公系统，B/S为主。产品用户量较大、功能模块较多，需要考虑高并发高可用。【关于岗位】 base深圳 base深圳 base深圳岗位职责：1、负责系统架构设计、系统底层设计，对现有系统缺陷提出优化方案；2、负责系统关键功能开发及维护，保障系统的正常运行；3、指导团队开发成员完成开发工作，解决开发过程遇到的难题；4、参与项目的代码质量管理和控制，保证项目的高质量。任职要求：1、统招本科及以上学历（必备），计算机相关专业，3年及以上软件开发经验；2、有高并发高可有用实战经验，熟悉EF Core、 .Net Core、ABP、Redis、RabbitMQ；3、精通数据库设计/数据库性能调优，熟练运用ElasticSearch、MongoDb等；4、掌握微服务架构设计思想，熟悉微服务与容器技术的应用；5、基本功扎实，对DDD、OO、IOC、AOP等有深刻认识，熟悉常用设计模式。,"技术栈：

1. EF Core
2. .Net Core
3. ABP
4. Redis
5. RabbitMQ
6. ElasticSearch
7. MongoDb"
岗位职责：1、根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务；2、根据项目安排可在公司现有平台基础上进行软件编码开发；3、负责辅助进行系统的功能定义、程序设计；4、能独立处理和解决所负责的任务；5、具备良好的代码编程习惯及较强的文档编写能力；6、完成上级领导安排的其他工作任务；任职要求：1、一年以上经验；2、熟悉.Net（C#.net、Asp.net、Asp.net.Core）、Oracle/SQL Server/MySQL数据库开发技术；3、有零售行业ERP、分销、零售、物流、人力资源、财务系统等开发经历优先；4、具有良好的团队合作、敬业精神；5、有较强的责任心；福利待遇:1.休息时间大小周，法定节假日正常放假；2.上班时间为9:00--18:00，中午一个半小时休息；【公司介绍】广州客派网络是一家为中小企业提供信息化解决方案商，致力于为企业提供全生命周期的信息化管理方案。主要为中小企业进销存财务、生产管理、供应链管理等软件，我们是《管家婆软件》在广州区域的核心销售服务商，《管家婆软件》已经成功服务于国内外100万+家企业。此岗位就是在原来软件的基础上进行二次开发。,"技术栈: 

1. .Net
2. C#.net
3. Asp.net
4. Asp.net.Core
5. Oracle
6. SQL Server
7. MySQL"
任职要求：1、计算机或相关专业大专或以上学历；2、.net 开发经验，能够独立编写WebApi；3. 熟练掌握c#语法和高级特性，掌握多线程和数值处理技术;4、能快速对WebApi进行部署；5、熟悉sqlserver/MYSQL等数据库开发，配置、维护、性能优化；6、拥有良好的代码习惯，结构清晰，命名规范，逻辑性强，代码冗余率低；7、熟练应用git进行协作开发，有撰写设计文档的习惯和能力，有团队开发经验;8、熟悉XHTML、XML、JSON；9、热爱开发工作，团队合作意识;,"技术栈：

1. .NET
2. C#
3. WebApi
4. SQL Server
5. MYSQL
6. Git
7. XHTML
8. XML
9. JSON"
"岗位职责1.通过项目整体业务需求，输出需求分析报告及任务开发计划2.负责项目模块的原型界面设计并输出3.实现系统核心模块设计与开发，并保障系统运行的稳定性4.负责软件的设计，包括功能设计以及界面设计，注重软件的用户体验、视觉设计、交互设计5.能快速定位及解决项目中疑难问题及系统性能问题，实现系统功能，单元测试，协助系统部署和监控系统稳定运行，支持系统上线。6.根据要求进行软件概要设计、详细设计、编码、单元测试工作及说明文档的编写7.管理数据库脚本，维护数据字典任职要求1.计算机软件或相关专业专科以上学历，5年以上.NET开发经验；2.精通Win32 API系统接口与Windows窗口句柄操作（键盘输入控制，鼠标输入控制，屏幕找色找图）3.精通WinForm，MVC，异步编程，多线程，单元测试等技术的开发经验4.精通SQL server 、Oracle数据库技术及PL/SQL编程及存储过程5.熟悉ORM、IOC等开源框架及MQ消息、Redis,Memcached缓存中间件使用与缓存优化能力6.熟练Identity4、JWT、OAuth2.0进行身份认证和授权，开发安全稳定系统7.熟悉Web端的常用开发框架和样式框架(vue,bootstrap,easyui,echarts.js)8.有PCB行业开发经验者的优先","技术栈:

1. .NET
2. Win32 API
3. WinForm
4. MVC
5. SQL Server
6. Oracle
7. PL/SQL
8. ORM
9. IOC
10. MQ
11. Redis
12. Memcached
13. Identity4
14. JWT
15. OAuth2.0
16. Vue
17. Bootstrap
18. EasyUI
19. ECharts.js"
