职位名称,工作地址,学历要求,工作年限要求,招聘人数,薪资待遇,公司行业,公司性质,公司规模,融资阶段,招聘状态,职位类型,岗位描述,公司介绍,公司工商信息,简历详情页地址,更新日期,工作内容,任职资格,技术栈
大数据开发岗位,深圳龙岗区深圳华为坂田基地E区,本科,1-3年,,15-22K,互联网,,10000人以上,未融资,招聘中,全职,1、负责政务大数据采集，计算，分析处理等相关设计与开发工作；2、负责检索内核/搜索推荐/排序学习/查询分析/语义理解/知识图谱/知识检索等关键模块设计及开发工作；3、承担智能搜索引擎系统开发、验证及商用落地；【任职要求】业务技能要求：1.Java/Python/C++/GO至少精通一门语言，掌握各类常用数据结构和算法；2.从事过Hadoop生态体系相关大数据开发工作，熟悉相关中间件，如：HDFS、Hive、Spark、Flink、Kafka、Hudi、Zookeeper、Elasticsearch。3. 有用户行为建模、面向多模态的特征工程等方向有经验者优先专业知识要求：1.有大数据处理、分布式系统、linux平台开发经验者优先。2.有深度学习/机器学习/预训练模型经验者优先;3.有搜索/推荐/广告/NLP/知识图谱等相关研发经验者优先,http://www.hua?-?----/,https://www.zhipin.com/gongsi/2dc5f75565c848191nZ83t2_Eg~~.html,https://www.zhipin.com/job_detail/7d5260692bfdb3701XZ-29y6GVFS.html,2024-05-15 03:56:27,"
：
1. 负责政务大数据的采集、计算、分析处理等设计与开发工作；
2. 负责检索内核、搜索推荐、排序学习、查询分析、语义理解、知识图谱、知识检索等关键模块的设计及开发工作；
3. 承担智能搜索引擎系统的开发、验证及商用落地。","
任职资格：
1. 精通Java/Python/C++/GO中至少一门语言，并掌握各类常用数据结构和算法。
2. 从事过Hadoop生态体系相关大数据开发工作，熟悉相关中间件，如：HDFS、Hive、Spark、Flink、Kafka、Hudi、Zookeeper、Elasticsearch。
3. 具备用户行为建模、面向多模态的特征工程等方向的经验者优先。
4. 具备大数据处理、分布式系统、Linux平台开发经验者优先。
5. 具备深度学习/机器学习/预训练模型经验者优先。
6. 具备搜索/推荐/广告/NLP/知识图谱等相关研发经验者优先。","

1. Java/Python/C++/GO编程语言
2. 数据结构和算法
3. Hadoop生态体系
4. HDFS
5. Hive
6. Spark
7. Flink
8. Kafka
9. Hudi
10. Zookeeper
11. Elasticsearch
12. 用户行为建模
13. 面向多模态的特征工程
14. 大数据处理
15. 分布式系统
16. Linux平台开发
17. 深度学习
18. 机器学习
19. 预训练模型
20. 搜索/推荐/广告/NLP/知识图谱"
.net-大厂,广州南沙区香港科技大学(广州)1,本科,5-10年,,14-17K,计算机软件,,10000人以上,已上市,招聘中,全职,"熟悉微服务架构、精通.NET、.NET CORE平台技术，精通Linq\EF\sqlsugar；熟练掌握SQL Server，T-SQL查询、性能优化对面向对象的思想有较好的理解，有较好的业务分析设计和业务抽象能力。对常见的设计模式掌握并熟练应用良好的代码编写规范和代码组织能力拥有独立解决问题的思路和方法良好的团队协作能力拥有出色的学习能力,快速理解业务,优秀的思考能力和工作效率",软通动力信息技术（集团）股份有限公司（以下简称“软通动力”）是中国领先的软件与信息技术服务商，致力于成为具有全球影响力的数字技术服务领导企业，企业数字化转型可信赖合作伙伴。2005年，公司成立于北京，立足中国，服务全球市场。目前，在全球40余个城市设有近百个分支机构和超过20个全球交付中心，员工90000余人。秉承用数字技术提升客户价值的使命，软通动力长期提供软件与数字技术服务和数字化运营服务，其中软件与数字技术服务包括咨询与解决方案、数字技术服务和通用技术服务；凭借深厚的行业积累，公司在10余个重要行业服务超过1000家国内外客户，其中超过200家客户为世界500强或中国500强企业。软通动力注重创新和可持续发展。公司已建设30个能力中心，拥有1个国家级工程实验室，5个省市政府认定的工程、技术实验室及研发中心，1个博士后科研工作站，50+技术合作伙伴的生态合作体系，利用多种形式鼓励研发创新，不断探索前沿技术的巨大商业应用潜力。软通动力依托自身的教育平台，开展校企合作、协同育人，为公司长期发展培养人才。软通动力雇主价值主是张信赖 奋斗与我们一同攀升信赖 是软通动力为客户创造价值和雇主与员工间彼此成就的纽带奋斗 是软通人铸就品质与创新精神、恪守持续学习准则、秉持包容开放心态、坚定价值创造信念的基石与我们一同攀升 是无数来自于不同岗位、不同业务乃至不同地域的软通人对从事的职业、专注的事业、拥有的理念而自豪的信标,https://www.zhipin.com/gongsi/c8311034740eee121nVz09S7E1U~.html,https://www.zhipin.com/job_detail/f14716b31fbfce0b1HZy2d-1GFRR.html,2024-05-14 23:36:38,"
：
1. 熟悉微服务架构，能够设计和实现微服务架构下的应用程序。
2. 精通.NET和.NET CORE平台技术，能够编写高效、可维护的代码。
3. 精通Linq、EF和SqlSugar等技术，能够进行数据访问和操作。
4. 熟练掌握SQL Server和T-SQL查询，能够进行数据库设计和性能优化。
5. 对面向对象的思想有较好的理解，能够进行业务分析设计和业务抽象。
6. 掌握常见的设计模式，并能够熟练应用。
7. 具备良好的代码编写规范和代码组织能力，能够编写清晰、可读、可维护的代码。
8. 拥有独立解决问题的思路和方法，能够快速定位和解决问题。
9. 具备良好的团队协作能力，能够与团队成员有效沟通和协作。
10. 拥有出色的学习能力，能够快速理解业务需求，并能够提出有效的解决方案。
11. 具备优秀的思考能力和工作效率，能够高效地完成工作任务。","
任职资格：
1. 熟悉微服务架构。
2. 精通.NET、.NET CORE平台技术。
3. 精通Linq、EF、SqlSugar。
4. 熟练掌握SQL Server，T-SQL查询、性能优化。
5. 对面向对象的思想有较好的理解。
6. 有较好的业务分析设计和业务抽象能力。
7. 对常见的设计模式掌握并熟练应用。
8. 良好的代码编写规范和代码组织能力。
9. 拥有独立解决问题的思路和方法。
10. 良好的团队协作能力。
11. 出色的学习能力，快速理解业务。
12. 优秀的思考能力和工作效率。","

1. 微服务架构
2. .NET
3. .NET CORE
4. Linq
5. EF
6. SqlSugar
7. SQL Server
8. T-SQL
9. 面向对象
10. 业务分析设计
11. 业务抽象
12. 设计模式
13. 代码编写规范
14. 代码组织
15. 独立解决问题
16. 团队协作
17. 学习能力
18. 思考能力
19. 工作效率"
软件开发工程师,深圳龙华区国乐科技园丽荣路1号国乐科技园3栋301,本科,1-3年,,8-13K,电子/半导体/集成电路,,20-99人,,招聘中,全职,：1.负责公司信息化管理系统的开发（OA，进销存，第三方平台数据对接等）；2.准确理解产品需求和交互原型，根据需求文档，独立完成开发任务；3.测试相应的功能，并编制相关的技术文档；任职要求：1.大专及以上学历，计算机，软件工程，信息技术相关专业；2.有1年以上ERP、MES系统、企业管理信息系统开发经验，了解制造业管理流程 (优先考虑)；3.精通C#、ASP.Net多层架构开发，熟悉至少一门面向对象编程语言(Java/C#)；4.掌握关系数据库的基本原理知识、熟悉常用SQL语句的编写、能够熟练操作至少一种关系型数据库（SQL Server / MySQL等）；福利待遇：1、待遇面议；2、大小周工作制；3、国家法定假期；4、公司每月定期举行集体活动，聚餐等,深圳市艾尔赛科技有限公司是国家高新技术企业。专业从事单片机嵌入式系统和应用软件开发，公司集研发、设计、生产于一体，可以为客户提供全流程解决方案。“诚信为本，技术创新”作为公司的核心价值观。我们热忱的欢迎国内外新老客户前来参观洽谈，真诚期待与您合作！加盟我们，共创美好未来！有意者请直接投递应聘资料。公司：广东省深圳市龙华新区大浪街道丽荣路1号国乐科技园3栋301电话：0755-********传真：*************网址：http://www.lctech-inc.com温馨提示：（1）您也可以注明应聘职位及姓名，将简历以传真或邮件形式发至我司，邮箱*****-inc.com（2）预约面试时，请携带身份证、学历证及证明自己相关能力水平证件原件或复印件参加面试,https://www.zhipin.com/gongsi/248a091434b250ee1nBz2Nu0Fg~~.html,https://www.zhipin.com/job_detail/9c30f3ae97c21aba1HB629m6FVpU.html,2024-05-15 01:06:54,"
：
1. 负责公司信息化管理系统的开发，包括但不限于OA系统、进销存系统以及第三方平台数据对接等；
2. 准确理解产品需求和交互原型，根据需求文档独立完成开发任务；
3. 测试开发的功能，并编制相关的技术文档。","
任职资格：
1. 大专及以上学历，计算机、软件工程、信息技术相关专业；
2. 1年以上ERP、MES系统、企业管理信息系统开发经验，了解制造业管理流程（优先考虑）；
3. 精通C#、ASP.Net多层架构开发，熟悉至少一门面向对象编程语言（Java/C#）；
4. 掌握关系数据库的基本原理知识，熟悉常用SQL语句的编写，能够熟练操作至少一种关系型数据库（SQL Server / MySQL等）。","

1. C#
2. ASP.Net
3. 面向对象编程语言（Java/C#）
4. 关系型数据库（SQL Server / MySQL等）"
大数据平台开发工程师,深圳福田区博今国际B座32,本科,3-5年,,20-40K,消费电子,,10000人以上,不需要融资,招聘中,全职,熟悉大数据hadoop技术栈，熟悉数仓MPP数据库如ClickHouse熟悉dataops大数据开发治理平台,HONOR荣耀，于2013年诞生，是全球领先的智能终端提供商。我们致力于成为构建全场景、 面向全渠道、服务全人群的全球标志性科技品牌，荣耀以创新、品质和服务作为三大战略控制点，坚持研发及前瞻性技术的持续投入，为全球消费者带来不断创新的智能设备， 创造属于每个人的智慧新世界。,https://www.zhipin.com/gongsi/39a50c1b8a5244f033173tW5EQ~~.html,https://www.zhipin.com/job_detail/1de2d0c75239a04a1X142t-_F1JZ.html,2024-05-15 03:57:13,"
：
1. 熟悉大数据Hadoop技术栈，包括但不限于HDFS、YARN、MapReduce等组件。
2. 熟悉数仓MPP数据库如ClickHouse，能够进行数据建模、ETL（提取、转换、加载）和数据查询优化。
3. 熟悉DataOps大数据开发治理平台，能够进行数据质量管理、数据监控、数据生命周期管理等。
4. 负责大数据平台的设计、搭建、运维和优化，确保平台稳定、高效运行。
5. 参与大数据项目的需求分析、方案设计、开发实施和测试验收等工作。
6. 与业务部门、开发团队、运维团队等紧密合作，确保项目顺利进行。
7. 关注大数据技术发展趋势，不断学习和掌握新技术，提升自身能力。","
任职资格：
1. 熟悉大数据Hadoop技术栈。
2. 熟悉数仓MPP数据库如ClickHouse。
3. 熟悉DataOps大数据开发治理平台。","

1. Hadoop技术栈
2. MPP数据库如ClickHouse
3. DataOps大数据开发治理平台"
.net 高级开发工程师,深圳南山区深圳航天科技创新研究院(东门)C501-504,本科,5-10年,,16-22K,电子/半导体/集成电路,,20-99人,未融资,招聘中,全职,"【】1、根据开发进度和任务分配，能独立完成相应模块软件的详细设计、开发、编程工作；2、进行程序单元、功能的测试，查出软件存在的缺陷并保证其质量；3、进行编制项目文档和质量记录的工作；4、维护软件使之保持可用性和稳定性。【任职要求】1. 计算机相关专业毕业、统招本科学历，学信网可查；C/S,B/S架构都要熟悉；2. 至少6年人工智能或集成软件开发经验，熟悉.net core平台架构开发，有 Rfid和手持终端开发经验；（必须）3、精通C#、ASP.Net多层架构开发和SQLSever；熟练掌握XML、HTML、CSS、JavaScript、Ajax等Web前端相关技术；4、熟悉前后端页面设计，对HTML5有应用开发经验；5、有良好的文档编写与软件设计能力，良好的代码编写风格；6、有责任心和团队精神，有良好的沟通能力与协作能力，愿意接受挑战和承担压力，工作主动，细心，认真负责；7. 此岗位根据项目需要，可能涉及出差。",深圳市唯特视科技有限公司于2013年9月9日成立，是一家致力于人工智能、图像识别技术的高新技术企业，公司总部在广东省深圳市南山区科南十路6号深圳航天科技创新研究院C座5楼，并设有北京、南京、西安、成都四个办事处。公司已通过国家高新技术企业认定，获得ISO9001认证证书以及军民等领域相关资质证书。 公司已形成可独立运作的三大专业中心机构，拥有人工智能和无人控制识别技术专业的科研技术人员，在人工智能、目标探测与识别、无人控制、图像识别和通信对抗等领域具有丰富经验的专家团队。成功研发出业内领先的3D人脸识别核心算法，其识别准确度高，识别速度快，受外界环境影响小，拥有独立自主知识产权，在3D生物智能识别技术的科技领域方面占据领先地位。目前已申报364项专利申请，已授权发明专利13项、实用新型6项和软件著作权62项。 目前公司成功向无人控制系统、目标探测与识别系统、3D多波束合成孔径声纳成像系统、航空器成像系统、图像识别系统、通信对抗系统图像识别系统、声纳成像系统、激光雷达系统和红外热成像系统等领域拓展，提供从硬件、软件到终端3D图像显示的完整解决方案。公司投入巨资建设“人工智能图像识别云计算服务平台”，面向全球开放，同时确立本公司 “创新3D生物特征识别平台” 的国际品牌，在多个领域深入应用安全认证，将公司打造成具有一定国际水准和影响力的综合安全认证服务提供商。,https://www.zhipin.com/gongsi/2e57aa737bd8b5e41nF63t2_GFU~.html,https://www.zhipin.com/job_detail/f196ffcca0f635ef1XN93Nu0EltW.html,2024-05-15 00:49:49,"
：
1. 根据开发进度和任务分配，独立完成相应模块软件的详细设计、开发、编程工作；
2. 进行程序单元、功能的测试，查出软件存在的缺陷并保证其质量；
3. 编制项目文档和质量记录的工作；
4. 维护软件使之保持可用性和稳定性。","
任职资格：
1. 计算机相关专业毕业、统招本科学历，学信网可查；
2. 至少6年人工智能或集成软件开发经验，熟悉.net core平台架构开发，有 Rfid和手持终端开发经验；
3. 精通C#、ASP.Net多层架构开发和SQLSever；
4. 熟练掌握XML、HTML、CSS、JavaScript、Ajax等Web前端相关技术；
5. 熟悉前后端页面设计，对HTML5有应用开发经验；
6. 有良好的文档编写与软件设计能力，良好的代码编写风格；
7. 有责任心和团队精神，有良好的沟通能力与协作能力，愿意接受挑战和承担压力，工作主动，细心，认真负责。","

1. C#
2. ASP.Net
3. SQL Server
4. XML
5. HTML
6. CSS
7. JavaScript
8. Ajax
9. .NET Core
10. RFID
11. 手持终端开发
12. HTML5"
.net 软件开发工程师,深圳南山区航盛科技大厦7F,本科,3-5年,,13-16K·13薪,计算机软件,,0-20人,,招聘中,全职,1、负责软件产品的开发及系统维护；2、根据项目的具体要求，承担开发任务，按计划完成任务目标；3、根据项目经理的安排，按时完成指定软件模块的设计、开发、测试等过程；4、解决项目中的关键问题和技术难题。任职要求：1、计算机相关专业，三年以上开发工作经验；2、精通.Net Core跨平台的开发技术，熟练使用Visual Studio 开发环境，熟悉.Net Core在Linux/Windows环境下的部署及运维；3、熟练掌握Mysql、Oracle、SQLServer等数据库的查询及性能调优技术；4、熟练掌握Redis、RabbitMQ等分布式组件在.Net Core平台的集成应用；5、了解Html5、CSS、JavaScript、Vue等前端开发技术；6、工作积极主动，有较好逻辑、表达能力，具备良好的学习能力，责任心强，能够承受较大的工作压力。,,https://www.zhipin.com/gongsi/c13395b47b5833ff1Xd-2tu5EVY~.html,https://www.zhipin.com/job_detail/360f118a2a9640d31HR43t21ElRS.html,2024-05-15 00:57:49,"
：
1. 负责软件产品的开发及系统维护；
2. 根据项目的具体要求，承担开发任务，按计划完成任务目标；
3. 根据项目经理的安排，按时完成指定软件模块的设计、开发、测试等过程；
4. 解决项目中的关键问题和技术难题。","
任职资格：
1. 计算机相关专业，三年以上开发工作经验；
2. 精通.Net Core跨平台的开发技术，熟练使用Visual Studio 开发环境，熟悉.Net Core在Linux/Windows环境下的部署及运维；
3. 熟练掌握Mysql、Oracle、SQLServer等数据库的查询及性能调优技术；
4. 熟练掌握Redis、RabbitMQ等分布式组件在.Net Core平台的集成应用；
5. 了解Html5、CSS、JavaScript、Vue等前端开发技术；
6. 工作积极主动，有较好逻辑、表达能力，具备良好的学习能力，责任心强，能够承受较大的工作压力。","

1. .Net Core
2. Visual Studio
3. Linux/Windows环境部署及运维
4. Mysql、Oracle、SQLServer数据库
5. Redis、RabbitMQ分布式组件
6. Html5、CSS、JavaScript、Vue"
高级系统分析师,深圳南山区华润置地大厦E座17楼C室,本科,3-5年,,13-21K,计算机软件,,100-499人,已上市,招聘中,全职,一 工作职责：1.负责系统的需求分析、设计和开发，包括但不限于系统框架设计、业务逻辑设计、数据库设计、接口设计等；2.根据业务需求独立进行系统的设计和实现，并提出改进意见；3.负责系统的测试、优化和维护，确保系统的稳定性和安全性；4.与团队成员、用户、产品经理等部门沟通，了解需求，并协调解决问题；5.处理开发相关的文件和文档，包括但不限于技术文档、设计文档、测试文档等，确保文档的准确性和完整性；6.及时跟进技术领域的发展和变化，积极学习新的技术和工具，提升自身的技术水平和能力。二 工作要求：1.本科及以上学历，计算机相关专业优先；2.至少3年以上.NET开发经验，熟悉SQL Server；3.熟悉前后端开发技术，能够独立完成系统分析和设计；4.熟悉开发标准，能够按照标准进行开发，保证代码质量；5.熟悉版本控制工具 Git 等，具有良好的代码管理和协作能力，能够合理地使用分支、合并和提交等功能；6.具有良好的沟通、协调和团队合作能力；7.有较强的逻辑思维能力和问题解决能力；8.熟悉粤语者优先；9.有领导开发团队经验者优先。,双休，平时基本不加班。科联系统集团有限公司 www.ctil.com企业愿景：善用资讯科技构建美好世界！ 企业介绍：成立于一九九一年，自一九九八年起于香港联交所主板上市（股票编号： SEHK00046）。科联集团一直致力提供优越的软件产品，范畴涵盖人力资源管理至企业层面的资讯管理丶采购管理及零售管理，使各机构能更有效地经营其业务及运作。除软件产品外，科联集团多年来於提供高效资讯科技解决方案及优质服务方面拥有卓越的往绩记录，包括资讯科技解决方案的设计及执行丶软件开发丶网上电子服务以及商务流程外判服务，均旨在提升客户的竞争优势。 子公司品牌包括：PLATINUM（白金软件）、IPL、VITOVA、ChainStorePlus 行业客户：过去二十多年来，科联集团产品及服务被不同行业的公司所广泛采用，客户遍布本地大型企业集团至跨国公司及政府机关。产品及服务涵盖范围亦非常广泛，由衣食住行等基本生活必需至高端专业服务，全方位满足客户在业务及营运上的不同需求。 公司薪资福利：1. 人性化管理理念，公司提供优厚的休假制度（其中包含6天/年的带薪病假）；2. 员工关怀体系细致入微，每年提供员工全方位的身体检查；个别城市的班车服务；商业医疗保险让您和家人在工作的同时拥有更多健康保障；重要节日礼金；生育礼包津贴等；3. 午餐补贴让您在CBD也能无忧用餐；4. 团队建设：丰富的业余生活、聚餐、各类比赛、生日party、年度outing等。 人员招募：科联系统以卓越的科技产品理念愿与您共同携手构建美好世界，科联愿与您共同实现职业愿景!科联系统期待您的加入!,https://www.zhipin.com/gongsi/8db5d8184a313a8d1nB-3d6_ElA~.html,https://www.zhipin.com/job_detail/0f86d016a5e3be251Xx52920ElVU.html,2024-05-15 00:31:14,"
：
1. 负责系统的需求分析、设计和开发，包括但不限于系统框架设计、业务逻辑设计、数据库设计、接口设计等；
2. 根据业务需求独立进行系统的设计和实现，并提出改进意见；
3. 负责系统的测试、优化和维护，确保系统的稳定性和安全性；
4. 与团队成员、用户、产品经理等部门沟通，了解需求，并协调解决问题；
5. 处理开发相关的文件和文档，包括但不限于技术文档、设计文档、测试文档等，确保文档的准确性和完整性；
6. 及时跟进技术领域的发展和变化，积极学习新的技术和工具，提升自身的技术水平和能力。","
任职资格：
1. 本科及以上学历，计算机相关专业优先；
2. 至少3年以上.NET开发经验，熟悉SQL Server；
3. 熟悉前后端开发技术，能够独立完成系统分析和设计；
4. 熟悉开发标准，能够按照标准进行开发，保证代码质量；
5. 熟悉版本控制工具 Git 等，具有良好的代码管理和协作能力，能够合理地使用分支、合并和提交等功能；
6. 具有良好的沟通、协调和团队合作能力；
7. 有较强的逻辑思维能力和问题解决能力；
8. 熟悉粤语者优先；
9. 有领导开发团队经验者优先。","

1. .NET开发
2. SQL Server
3. 前后端开发技术
4. 开发标准
5. 版本控制工具 Git
6. 粤语（可选）
7. 领导开发团队经验（可选）"
.net中高级开发工程师,深圳福田区群星广场A座24楼,本科,5-10年,,17-20K,电子商务,,20-99人,未融资,招聘中,全职,"：1、参与需求分析,能将业务需求拆分到各子系统；2、负责相应产品模块的需求分析和编码工作；3、编写详细设计文档，控制项目开发进度和代码质量；4、负责系统的软件测试，并编写文档、测试文档；5.负责第三方支付渠道、或其他电商联盟的开发对接工作；6、对所负责的项目、系统、服务提出优化改进方案。任职资格：1、5年以上C#.Net编程经验，统招大专以上学历，具有电商行业相关经验者优先。2、掌握Asp.Net Core、Webapi、EF、LIinq、Lambda、SqlSugar、多线程、gRPC开发技能。3、熟练使用Redis、RabbitMQ、PgSQL、CAP；具有微服务、分布式事务、高并发经验。4、熟悉linux、k8s、docker等服务器技术;熟悉vue、element等前端技术；熟练使用VisualStudio开发和调试。5、具备良好的面向对象编程经验，理解oop、ood思想，具有一定的分析设计能力，熟悉svn、git代码管理工具。6、工作认真负责，有较强的学习能力，和钻研攻克技术难题的能力，有一定的抗压能力。11.思路清晰，较强的沟通协调能力，具有团队合作精神。",满金坝（深圳）科技有限公司于2017年10月注册于深圳，注册资金3000万，是一家创新型互联网科技公司，公司办公地址坐落于深圳市福田区华强北群星广场A座24楼，属于企业自有物业。我司致力于打造创新型社交电商项目，颠覆传统电商项目的掣肘，创建一家有情怀、有社会责任感的伟大企业。企业创办者梁志军先生90年代初白手起家创办中利保集团公司，十几年来深耕互联网行业，成功孵化并运作了多个互联网项目，目前团队规模60人左右，80%均为高科技研发人员，团队稳定，技术实力雄厚。,https://www.zhipin.com/gongsi/2444401eaff0e0571XR42960Ew~~.html,https://www.zhipin.com/job_detail/937bedeb824f946d1Xxz2Nq1FlBQ.html,2024-05-15 00:10:42,"
：
1. 参与需求分析，将业务需求拆分到各子系统；
2. 负责相应产品模块的需求分析和编码工作；
3. 编写详细设计文档，控制项目开发进度和代码质量；
4. 负责系统的软件测试，并编写文档、测试文档；
5. 负责第三方支付渠道、或其他电商联盟的开发对接工作；
6. 对所负责的项目、系统、服务提出优化改进方案。","
任职资格：
1. 5年以上C#.Net编程经验，统招大专以上学历，具有电商行业相关经验者优先。
2. 掌握Asp.Net Core、Webapi、EF、LINQ、Lambda、SqlSugar、多线程、gRPC开发技能。
3. 熟练使用Redis、RabbitMQ、PgSQL、CAP；具有微服务、分布式事务、高并发经验。
4. 熟悉Linux、K8s、Docker等服务器技术；熟悉Vue、Element等前端技术；熟练使用Visual Studio开发和调试。
5. 具备良好的面向对象编程经验，理解OOP、OOD思想，具有一定的分析设计能力，熟悉SVN、Git代码管理工具。
6. 工作认真负责，有较强的学习能力，和钻研攻克技术难题的能力，有一定的抗压能力。
7. 思路清晰，较强的沟通协调能力，具有团队合作精神。","

1. C#.Net
2. Asp.Net Core
3. Webapi
4. EF
5. LINQ
6. Lambda
7. SqlSugar
8. 多线程
9. gRPC
10. Redis
11. RabbitMQ
12. PgSQL
13. CAP
14. 微服务
15. 分布式事务
16. 高并发
17. Linux
18. K8s
19. Docker
20. Vue
21. Element
22. Visual Studio
23. SVN
24. Git"
高级软件开发工程师,广州番禺区上海希华通讯科技有限公司(广州分公司)11号2栋三楼,本科,3-5年,,18-25K,通信/网络设备,,0-20人,不需要融资,招聘中,全职,"：1、负责公司winform,wpf,web项目开发及维护；2、按照项目相关资料实现功能需求；3、编写高质量的代码和项目测试；4、参与技术难题攻关、学习并引入新技术解决一些项目问题。任职资格：1、能够独立开发工作，有较强的逻辑思维能力，肯钻研，肯学习。2、熟练掌握asp.net(c#)、html、css+div，winform,wpf,等开发技术；3、熟练的掌握.net framework ,.net core技术体系;4、熟练掌握sql server数据库开发，能熟练编写sql语句；6、熟悉b/s或c/s架构系统的开发；7、具有良好的团队精神、责任感强，以及良好的沟通能力及技巧。8. 审时度势，根据公司发展的需要，积极学习新的技能。9.统招本科毕业，3-5年相关经验。有前端开发经验者优先：1. 精通javascript（ES5/6）、CSS，CSS3科科，Html5，jQuery等Web前端技术；2. 精通vue, react等前端框架，并对Vue核心原理有较深理解，熟练使用element-ui框架3. 精通nodejs、npm、webpack 等前端工具4. 熟悉http协议，掌握前端调试、性能优化、web安全等前端技术；5. 熟悉前端优化，了解各主流浏览器特性，使页面兼容主流浏览器6.熟练掌握页面布局方式，比如珊格、盒子模型（flex）等；7.可独立面对客户，解决相关问题；8.有带团队经验并熟讲粤语者优先，并不介意常出差香港，有意愿长驻香港总部工作也可以。福利待遇：1. 年假6-10天2. 五险一金3. 双休，法定节假日假期4. 餐费津贴5. 总公司提供免费学习机会，鼓励并支持员工进修相关科目。上班地址：广州番禺区南村镇江南村工业一区一横路11号",,https://www.zhipin.com/gongsi/8fe868051a8630061XJ-3d29FlU~.html,https://www.zhipin.com/job_detail/d3e4f8ea5c49249c1HV_3dq-FVNW.html,2024-05-14 23:15:45,"
：
1. 负责公司winform,wpf,web项目开发及维护；
2. 按照项目相关资料实现功能需求；
3. 编写高质量的代码和项目测试；
4. 参与技术难题攻关、学习并引入新技术解决一些项目问题。","
任职资格：
1. 能够独立开发工作，有较强的逻辑思维能力，肯钻研，肯学习。
2. 熟练掌握asp.net(c#)、html、css+div，winform,wpf,等开发技术。
3. 熟练的掌握.net framework ,.net core技术体系。
4. 熟练掌握sql server数据库开发，能熟练编写sql语句。
5. 熟悉b/s或c/s架构系统的开发。
6. 具有良好的团队精神、责任感强，以及良好的沟通能力及技巧。
7. 审时度势，根据公司发展的需要，积极学习新的技能。
8. 统招本科毕业，3-5年相关经验。
9. 有前端开发经验者优先：精通javascript（ES5/6）、CSS，CSS3科科，Html5，jQuery等Web前端技术。
10. 精通vue, react等前端框架，并对Vue核心原理有较深理解，熟练使用element-ui框架。
11. 精通nodejs、npm、webpack 等前端工具。
12. 熟悉http协议，掌握前端调试、性能优化、web安全等前端技术。
13. 熟悉前端优化，了解各主流浏览器特性，使页面兼容主流浏览器。
14. 熟练掌握页面布局方式，比如珊格、盒子模型（flex）等。
15. 可独立面对客户，解决相关问题。
16. 有带团队经验并熟讲粤语者优先，并不介意常出差香港，有意愿长驻香港总部工作也可以。","

1. ASP.NET (C#)
2. HTML
3. CSS
4. WinForms
5. WPF
6. .NET Framework
7. .NET Core
8. SQL Server
9. JavaScript (ES5/6)
10. CSS3
11. HTML5
12. jQuery
13. Vue.js
14. React.js
15. Element UI
16. Node.js
17. npm
18. webpack
19. HTTP协议
20. 前端调试
21. 性能优化
22. Web安全
23. 前端优化
24. 主流浏览器特性
25. 页面布局 (珊格、盒子模型、Flex)
26. 客户服务
27. 团队管理
28. 粤语
29. 出差香港
30. 长驻香港总部工作"
.NET,深圳龙华区时代科融中心1311,大专,3-5年,,8-15K,互联网,,100-499人,,招聘中,全职,岗位要求：1、大专或大专以上学历，计算机、软件工程等相关专业毕业；2、3年 (含3年)以上 软件开发工作经验；3、精通.Net， C#开发，熟练使用Visual Studio 2013等开发工具，熟悉C/S及B/S的多层架构设计及开发，以及javascript/xhtml/css/xml等技术；4、熟悉MS SQL Server等大型数据库，能熟练编写存储过程和触发器，有在大型数据库上进行软件开发的经验；5、熟悉网狐后台开发优先。,,https://www.zhipin.com/gongsi/1670c9ac3fb0e7fa1nd-29i0Ew~~.html,https://www.zhipin.com/job_detail/f2868bb81206d93f1nJ839u_FFA~.html,2024-05-15 00:37:42,"
：
1. 负责使用.Net和C#进行软件开发，熟练使用Visual Studio 2013等开发工具。
2. 设计和开发C/S及B/S的多层架构，并使用javascript/xhtml/css/xml等技术。
3. 熟悉MS SQL Server等大型数据库，能编写存储过程和触发器，有在大型数据库上进行软件开发的经验。
4. 熟悉网狐后台开发。","
任职资格：
1. 大专或大专以上学历，计算机、软件工程等相关专业毕业；
2. 3年 (含3年)以上 软件开发工作经验；
3. 精通.Net， C#开发，熟练使用Visual Studio 2013等开发工具；
4. 熟悉C/S及B/S的多层架构设计及开发，以及javascript/xhtml/css/xml等技术；
5. 熟悉MS SQL Server等大型数据库，能熟练编写存储过程和触发器，有在大型数据库上进行软件开发的经验；
6. 熟悉网狐后台开发优先。","

1. .Net
2. C#
3. Visual Studio 2013
4. C/S及B/S多层架构设计及开发
5. JavaScript
6. XHTML
7. CSS
8. XML
9. MS SQL Server
10. 存储过程和触发器
11. 网狐后台开发"
